Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,9.9,9.99,9.81,9.81,7.4,815744
2018-11-06 00:00:00+01:00,9.83,9.98,9.78,9.91,7.48,806813
2018-11-07 00:00:00+01:00,9.93,10.17,9.9,9.92,7.48,886317
2018-11-08 00:00:00+01:00,9.96,10.11,9.91,9.94,7.5,774820
2018-11-09 00:00:00+01:00,9.77,9.79,9.18,9.36,7.07,3038370
2018-11-12 00:00:00+01:00,9.42,9.55,9.26,9.28,7.0,1360703
2018-11-13 00:00:00+01:00,9.26,9.38,9.22,9.33,7.04,1472065
2018-11-14 00:00:00+01:00,9.28,9.32,9.15,9.25,6.98,943999
2018-11-15 00:00:00+01:00,9.32,9.43,9.23,9.29,7.01,1132833
2018-11-16 00:00:00+01:00,9.32,9.36,9.15,9.2,6.94,1166196
2018-11-19 00:00:00+01:00,9.3,9.32,9.17,9.2,6.94,835393
2018-11-20 00:00:00+01:00,9.16,9.16,8.85,8.89,6.71,1357464
2018-11-21 00:00:00+01:00,8.94,9.11,8.84,9.06,6.83,1243650
2018-11-22 00:00:00+01:00,9.01,9.05,8.9,8.96,6.76,710366
2018-11-23 00:00:00+01:00,8.96,9.01,8.84,8.9,6.71,671835
2018-11-26 00:00:00+01:00,8.93,9.07,8.87,9.03,6.81,1625832
2018-11-27 00:00:00+01:00,9.0,9.04,8.88,8.98,6.77,2101596
2018-11-28 00:00:00+01:00,8.96,9.26,8.89,8.99,6.78,2012556
2018-11-29 00:00:00+01:00,9.12,9.19,8.93,8.94,6.75,901946
2018-11-30 00:00:00+01:00,8.96,8.99,8.75,8.8,6.64,2206569
2018-12-03 00:00:00+01:00,9.02,9.42,8.97,9.05,6.83,2970760
2018-12-04 00:00:00+01:00,9.05,9.07,8.72,8.76,6.61,1659962
2018-12-05 00:00:00+01:00,8.7,8.77,8.54,8.7,6.57,1106581
2018-12-06 00:00:00+01:00,8.64,8.64,8.41,8.48,6.4,990335
2018-12-07 00:00:00+01:00,8.51,8.74,8.46,8.55,6.45,900147
2018-12-10 00:00:00+01:00,8.5,8.5,8.29,8.33,6.28,1048577
2018-12-11 00:00:00+01:00,8.4,8.59,8.32,8.53,6.43,1113531
2018-12-12 00:00:00+01:00,8.53,8.8,8.46,8.78,6.63,755319
2018-12-13 00:00:00+01:00,8.73,8.76,8.43,8.58,6.48,1643781
