Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,71.5,71.84,70.64,70.64,68.88,1356883
2018-11-06 00:00:00+01:00,70.72,71.26,70.16,70.82,69.06,739946
2018-11-07 00:00:00+01:00,68.24,69.96,66.88,69.6,67.87,1805548
2018-11-08 00:00:00+01:00,69.46,70.32,69.42,70.0,68.26,807745
2018-11-09 00:00:00+01:00,69.88,70.46,69.64,69.86,68.12,717968
2018-11-12 00:00:00+01:00,69.92,70.1,68.12,68.5,66.79,964435
2018-11-13 00:00:00+01:00,68.76,69.3,67.46,67.92,66.23,1841109
2018-11-14 00:00:00+01:00,67.38,67.62,66.56,66.9,65.23,1370986
2018-11-15 00:00:00+01:00,67.16,67.2,66.44,66.9,65.23,837727
2018-11-16 00:00:00+01:00,66.96,67.26,66.16,67.14,65.47,2488427
2018-11-19 00:00:00+01:00,67.16,67.38,65.76,65.86,64.22,1654588
2018-11-20 00:00:00+01:00,65.24,65.36,63.2,63.86,62.27,2889696
2018-11-21 00:00:00+01:00,64.18,64.3,63.18,63.84,62.25,1782314
2018-11-22 00:00:00+01:00,63.24,63.66,63.04,63.5,61.92,829334
2018-11-23 00:00:00+01:00,63.4,64.1,60.76,62.52,60.96,2265999
2018-11-26 00:00:00+01:00,62.88,63.34,62.62,63.12,61.55,758076
2018-11-27 00:00:00+01:00,63.2,63.66,62.7,63.5,61.92,1589963
2018-11-28 00:00:00+01:00,63.68,64.84,63.68,64.28,62.68,1338513
2018-11-29 00:00:00+01:00,65.02,65.66,64.02,64.02,62.43,1057314
2018-11-30 00:00:00+01:00,64.36,64.56,63.26,63.26,61.69,2372462
2018-12-03 00:00:00+01:00,64.8,65.56,64.28,64.8,63.19,1017130
2018-12-04 00:00:00+01:00,64.62,64.64,63.94,64.1,62.5,665395
2018-12-05 00:00:00+01:00,63.52,63.8,62.98,63.3,61.72,760593
2018-12-06 00:00:00+01:00,62.48,62.56,60.94,61.64,60.11,1541443
