Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,33.83,34.18,33.42,33.72,25.21,877010
2018-11-06 00:00:00+01:00,33.71,33.76,33.21,33.29,24.89,533519
2018-11-07 00:00:00+01:00,33.65,34.25,33.65,34.2,25.57,534336
2018-11-08 00:00:00+01:00,34.16,34.16,33.59,34.04,25.45,542434
2018-11-09 00:00:00+01:00,33.83,34.79,33.74,34.74,25.97,656955
2018-11-12 00:00:00+01:00,34.9,35.19,34.4,34.54,25.83,603629
2018-11-13 00:00:00+01:00,34.58,34.9,34.4,34.9,26.09,634736
2018-11-14 00:00:00+01:00,34.4,34.66,34.01,34.59,25.86,666901
2018-11-15 00:00:00+01:00,35.07,35.47,33.61,33.78,25.26,957460
2018-11-16 00:00:00+01:00,33.86,34.5,33.17,33.64,25.15,800545
2018-11-19 00:00:00+01:00,33.8,34.25,32.94,32.97,24.65,905323
2018-11-20 00:00:00+01:00,32.8,32.91,32.27,32.83,24.55,1109438
2018-11-21 00:00:00+01:00,33.0,33.66,32.99,33.53,25.07,964275
2018-11-22 00:00:00+01:00,33.34,33.6,33.14,33.18,24.81,573997
2018-11-23 00:00:00+01:00,33.26,33.69,33.23,33.57,25.1,811295
2018-11-26 00:00:00+01:00,33.84,34.65,33.84,33.93,25.37,1055878
2018-11-27 00:00:00+01:00,33.92,34.26,33.7,33.89,25.34,619739
2018-11-28 00:00:00+01:00,33.89,34.2,33.65,33.68,25.18,1781352
2018-11-29 00:00:00+01:00,33.85,34.13,33.73,33.85,25.31,601883
2018-11-30 00:00:00+01:00,33.95,34.12,33.59,33.88,25.33,1510659
2018-12-03 00:00:00+01:00,34.7,35.05,34.16,34.19,25.56,616201
2018-12-04 00:00:00+01:00,34.06,34.4,33.91,34.13,25.52,660924
2018-12-05 00:00:00+01:00,33.66,33.84,33.23,33.46,25.02,676311
2018-12-06 00:00:00+01:00,33.15,33.15,31.92,31.92,23.87,1065853
2018-12-07 00:00:00+01:00,32.26,32.6,32.02,32.1,24.0,900601
2018-12-10 00:00:00+01:00,31.96,32.0,31.4,31.45,23.51,693717
2018-12-11 00:00:00+01:00,31.68,32.77,31.55,32.65,24.41,2393608
2018-12-12 00:00:00+01:00,32.73,33.33,32.59,33.14,24.78,652942
2018-12-13 00:00:00+01:00,33.29,33.67,33.17,33.43,25.0,1124663
2018-12-14 00:00:00+01:00,33.03,33.7,32.85,33.55,25.08,589496
2018-12-17 00:00:00+01:00,33.67,33.93,33.05,33.05,24.71,886451
2018-12-18 00:00:00+01:00,33.14,33.52,32.74,32.74,24.48,1079211
2018-12-19 00:00:00+01:00,32.76,33.53,32.67,33.43,25.0,837602
2018-12-20 00:00:00+01:00,33.04,33.04,32.21,32.62,24.39,659547
2018-12-21 00:00:00+01:00,32.45,32.6,31.82,32.6,24.37,1265192
2018-12-24 00:00:00+01:00,32.26,33.1,32.24,33.1,24.75,269050
2018-12-27 00:00:00+01:00,33.3,33.46,31.73,32.0,23.93,672967
2018-12-28 00:00:00+01:00,32.12,32.85,32.09,32.85,24.56,560202
2018-12-31 00:00:00+01:00,32.84,33.91,32.84,33.83,25.29,281298
2019-01-02 00:00:00+01:00,33.67,33.67,32.62,33.24,24.85,573291
2019-01-03 00:00:00+01:00,32.9,33.63,32.8,33.32,24.91,816625
2019-01-04 00:00:00+01:00,33.7,33.99,33.57,33.82,25.29,951581
2019-01-07 00:00:00+01:00,34.1,34.3,33.63,33.93,25.37,1484482
2019-01-08 00:00:00+01:00,33.92,34.63,33.84,34.28,25.63,1250223
2019-01-09 00:00:00+01:00,34.58,34.93,34.35,34.58,25.85,626899
2019-01-10 00:00:00+01:00,34.24,34.41,33.93,34.29,25.64,623213
2019-01-11 00:00:00+01:00,34.38,35.0,34.19,34.62,25.88,511848
2019-01-14 00:00:00+01:00,34.6,34.6,34.01,34.12,25.51,465745
2019-01-15 00:00:00+01:00,34.41,34.66,33.66,33.66,25.17,1007077
2019-01-16 00:00:00+01:00,33.77,34.14,33.65,34.14,25.53,590050
2019-01-17 00:00:00+01:00,33.97,34.58,33.85,34.45,25.76,1288486
2019-01-18 00:00:00+01:00,34.79,35.39,34.72,35.32,26.41,805697
2019-01-21 00:00:00+01:00,35.41,35.59,35.06,35.33,26.42,624157
2019-01-22 00:00:00+01:00,34.99,35.77,34.9,35.55,26.92,705826
2019-01-23 00:00:00+01:00,35.37,36.08,35.32,35.64,26.99,814003
2019-01-24 00:00:00+01:00,35.71,36.24,35.53,35.9,27.19,783834
2019-01-25 00:00:00+01:00,36.2,36.54,36.02,36.2,27.42,796477
2019-01-28 00:00:00+01:00,36.18,36.63,36.1,36.27,27.47,671870
2019-01-29 00:00:00+01:00,36.2,36.23,35.61,36.0,27.26,686454
2019-01-30 00:00:00+01:00,36.0,36.22,35.62,36.22,27.43,2220602
