Date,Open,High,Low,Close,Adj_Close,Volume
2021-07-02 00:00:00+02:00,29.0,29.3,27.99,29.3,29.07,1048322
2021-07-05 00:00:00+02:00,29.5,29.5,28.55,29.0,28.77,721560
2021-07-06 00:00:00+02:00,29.1,29.1,28.5,28.79,28.56,339807
2021-07-07 00:00:00+02:00,28.79,29.5,28.52,29.5,29.26,396667
2021-07-08 00:00:00+02:00,29.48,29.9,29.06,29.9,29.66,279224
2021-07-09 00:00:00+02:00,29.95,30.75,29.63,30.6,30.36,342990
2021-07-12 00:00:00+02:00,30.95,30.95,30.23,30.54,30.3,180852
2021-07-13 00:00:00+02:00,30.6,30.76,30.38,30.45,30.21,126685
2021-07-14 00:00:00+02:00,30.53,30.53,29.5,30.33,30.09,149107
2021-07-15 00:00:00+02:00,30.2,30.8,29.86,30.0,29.76,95008
2021-07-16 00:00:00+02:00,30.06,30.5,29.71,29.8,29.56,53807
2021-07-19 00:00:00+02:00,29.84,30.11,29.04,29.21,28.98,105638
2021-07-20 00:00:00+02:00,29.4,30.13,29.23,29.23,29.0,115526
2021-07-21 00:00:00+02:00,29.75,29.75,28.85,29.4,29.17,89057
2021-07-22 00:00:00+02:00,29.6,29.8,29.26,29.71,29.47,37857
2021-07-23 00:00:00+02:00,29.5,29.89,29.4,29.61,29.37,43958
2021-07-26 00:00:00+02:00,30.0,30.5,29.5,29.52,29.28,33583
2021-07-27 00:00:00+02:00,29.4,30.02,29.4,29.96,29.72,135146
2021-07-28 00:00:00+02:00,29.5,30.5,29.5,30.2,29.96,110109
2021-07-29 00:00:00+02:00,30.3,30.58,29.62,29.81,29.57,128259
2021-07-30 00:00:00+02:00,29.85,29.94,28.52,28.79,28.56,95893
2021-08-02 00:00:00+02:00,29.0,29.43,28.61,29.43,29.2,57370
2021-08-03 00:00:00+02:00,29.4,30.48,29.0,30.47,30.23,32710
2021-08-04 00:00:00+02:00,30.5,30.99,29.81,30.9,30.65,88892
2021-08-05 00:00:00+02:00,31.02,31.4,30.76,30.9,30.65,64694
2021-08-06 00:00:00+02:00,30.6,31.22,30.47,30.73,30.48,78805
2021-08-09 00:00:00+02:00,30.9,31.5,30.1,30.62,30.38,137585
2021-08-10 00:00:00+02:00,31.4,31.54,30.78,31.01,30.76,139967
2021-08-11 00:00:00+02:00,31.52,31.52,30.6,30.7,30.46,50940
2021-08-12 00:00:00+02:00,31.32,31.39,30.71,30.74,30.49,27564
2021-08-13 00:00:00+02:00,31.0,31.01,30.16,30.26,30.02,29243
2021-08-16 00:00:00+02:00,30.01,30.48,29.61,30.08,29.84,24032
2021-08-17 00:00:00+02:00,29.9,30.49,29.7,30.0,29.76,79439
2021-08-18 00:00:00+02:00,29.95,30.89,29.95,30.42,30.18,59623
2021-08-19 00:00:00+02:00,30.6,30.9,30.0,30.6,30.36,30033
2021-08-20 00:00:00+02:00,30.35,30.7,29.94,29.99,29.75,18361
2021-08-23 00:00:00+02:00,30.5,30.5,29.7,29.93,29.69,26619
2021-08-24 00:00:00+02:00,30.0,30.84,29.83,30.1,29.86,50145
2021-08-25 00:00:00+02:00,30.01,30.79,30.01,30.28,30.04,58079
2021-08-26 00:00:00+02:00,30.3,30.79,29.6,29.6,29.36,42748
2021-08-27 00:00:00+02:00,30.29,30.8,29.5,29.5,29.26,148007
2021-08-30 00:00:00+02:00,29.94,30.47,29.6,29.6,29.36,50067
