Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,7.39,7.47,7.38,7.42,6.26,1262146
2018-11-06 00:00:00+01:00,7.41,7.42,7.23,7.34,6.19,1890230
2018-11-07 00:00:00+01:00,7.75,7.75,7.48,7.52,6.34,3753285
2018-11-08 00:00:00+01:00,7.52,7.56,7.48,7.54,6.36,1428203
2018-11-09 00:00:00+01:00,7.45,7.56,7.44,7.55,6.37,1646760
2018-11-12 00:00:00+01:00,7.58,7.58,7.5,7.53,6.35,1074062
2018-11-13 00:00:00+01:00,7.53,7.62,7.5,7.6,6.41,1287423
2018-11-14 00:00:00+01:00,7.55,7.59,7.48,7.54,6.36,1502399
2018-11-15 00:00:00+01:00,7.55,7.63,7.5,7.59,6.4,1428151
2018-11-16 00:00:00+01:00,7.63,7.72,7.55,7.68,6.48,2682391
2018-11-19 00:00:00+01:00,7.69,7.79,7.64,7.64,6.45,1650932
2018-11-20 00:00:00+01:00,7.64,7.66,7.47,7.49,6.32,2001581
2018-11-21 00:00:00+01:00,7.55,7.56,7.43,7.5,6.33,1573868
2018-11-22 00:00:00+01:00,7.44,7.48,7.4,7.4,6.25,1533918
2018-11-23 00:00:00+01:00,7.41,7.47,7.4,7.44,6.28,1588778
2018-11-26 00:00:00+01:00,7.46,7.63,7.46,7.56,6.38,1947480
2018-11-27 00:00:00+01:00,7.54,7.6,7.45,7.51,6.33,1564528
2018-11-28 00:00:00+01:00,7.52,7.55,7.46,7.48,6.31,1137802
2018-11-29 00:00:00+01:00,7.5,7.56,7.4,7.41,6.26,2130918
2018-11-30 00:00:00+01:00,7.42,7.44,7.37,7.38,6.23,3471904
2018-12-03 00:00:00+01:00,7.49,7.53,7.42,7.51,6.34,2093851
2018-12-04 00:00:00+01:00,7.47,7.52,7.31,7.31,6.17,2085611
2018-12-05 00:00:00+01:00,7.24,7.36,7.21,7.31,6.16,1626296
2018-12-06 00:00:00+01:00,7.22,7.25,7.06,7.11,6.0,3285425
2018-12-07 00:00:00+01:00,7.15,7.22,7.09,7.09,5.98,1490015
2018-12-10 00:00:00+01:00,7.08,7.16,7.04,7.05,5.95,2344235
2018-12-11 00:00:00+01:00,7.09,7.19,7.03,7.07,5.97,2217701
2018-12-12 00:00:00+01:00,7.1,7.25,7.1,7.24,6.11,2029056
2018-12-13 00:00:00+01:00,7.32,7.4,7.28,7.32,6.18,3478675
2018-12-14 00:00:00+01:00,7.26,7.34,7.13,7.33,6.18,2886024
2018-12-17 00:00:00+01:00,7.33,7.37,7.3,7.3,6.16,1933848
2018-12-18 00:00:00+01:00,7.29,7.36,7.14,7.14,6.02,2458252
2018-12-19 00:00:00+01:00,7.17,7.27,7.15,7.15,6.04,2502536
2018-12-20 00:00:00+01:00,7.09,7.17,7.03,7.1,5.99,2309344
2018-12-21 00:00:00+01:00,7.1,7.14,6.8,6.96,5.87,4226527
2018-12-24 00:00:00+01:00,6.9,6.96,6.85,6.88,5.86,538128
2018-12-27 00:00:00+01:00,6.98,6.98,6.7,6.75,5.75,2341638
2018-12-28 00:00:00+01:00,6.77,6.89,6.77,6.86,5.85,1893461
2018-12-31 00:00:00+01:00,6.89,7.02,6.86,7.02,5.98,723178
2019-01-02 00:00:00+01:00,6.94,7.01,6.8,6.98,5.94,1219753
2019-01-03 00:00:00+01:00,6.93,7.02,6.88,6.94,5.91,2142728
2019-01-04 00:00:00+01:00,6.99,7.19,6.98,7.16,6.1,1725530
2019-01-07 00:00:00+01:00,7.15,7.21,7.09,7.15,6.09,2663550
2019-01-08 00:00:00+01:00,7.15,7.3,7.15,7.24,6.16,2494581
2019-01-09 00:00:00+01:00,7.28,7.31,7.06,7.08,6.03,1872831
2019-01-10 00:00:00+01:00,7.05,7.11,6.97,7.0,5.96,1999969
2019-01-11 00:00:00+01:00,6.98,7.0,6.84,6.84,5.83,2511694
2019-01-14 00:00:00+01:00,6.83,6.84,6.74,6.81,5.8,1867828
2019-01-15 00:00:00+01:00,6.85,6.93,6.85,6.88,5.86,1430419
2019-01-16 00:00:00+01:00,6.92,7.1,6.91,7.1,6.05,3206522
2019-01-17 00:00:00+01:00,7.04,7.09,6.99,6.99,5.95,1593167
2019-01-18 00:00:00+01:00,7.07,7.14,7.04,7.11,6.06,3065825
2019-01-21 00:00:00+01:00,7.09,7.11,6.99,7.04,6.0,1841155
2019-01-22 00:00:00+01:00,6.98,7.05,6.93,7.02,5.98,2712112
2019-01-23 00:00:00+01:00,6.98,7.27,6.98,7.18,6.11,2418454
2019-01-24 00:00:00+01:00,7.35,7.48,7.19,7.27,6.2,4012782
2019-01-25 00:00:00+01:00,7.4,7.4,7.25,7.3,6.22,2731433
2019-01-28 00:00:00+01:00,7.24,7.25,7.05,7.05,6.0,2963033
2019-01-29 00:00:00+01:00,7.06,7.06,6.96,7.02,5.98,2297443
2019-01-30 00:00:00+01:00,7.02,7.03,6.94,6.97,5.94,1825344
2019-01-31 00:00:00+01:00,6.98,7.02,6.78,6.81,5.8,3710472
2019-02-01 00:00:00+01:00,6.8,6.83,6.69,6.73,5.74,4373985
2019-02-04 00:00:00+01:00,6.71,6.71,6.53,6.59,5.61,3416397
2019-02-05 00:00:00+01:00,6.6,6.68,6.55,6.63,5.65,3086353
2019-02-06 00:00:00+01:00,6.6,6.73,6.57,6.73,5.73,2240429
2019-02-07 00:00:00+01:00,6.67,6.74,6.61,6.61,5.63,2030492
2019-02-08 00:00:00+01:00,6.59,6.62,6.51,6.55,5.58,2242099
2019-02-11 00:00:00+01:00,6.6,6.69,6.57,6.65,5.67,1311409
2019-02-12 00:00:00+01:00,6.69,6.77,6.63,6.74,5.74,1743620
2019-02-13 00:00:00+01:00,6.74,6.78,6.67,6.7,5.71,2161444
2019-02-14 00:00:00+01:00,6.76,6.79,6.65,6.65,5.67,2198502
2019-02-15 00:00:00+01:00,6.65,6.92,6.6,6.91,5.89,3389385
2019-02-18 00:00:00+01:00,6.92,6.97,6.89,6.92,5.89,1716403
2019-02-19 00:00:00+01:00,6.87,6.93,6.83,6.93,5.9,1082833
2019-02-20 00:00:00+01:00,6.95,6.96,6.88,6.94,5.91,1758017
2019-02-21 00:00:00+01:00,6.97,6.97,6.86,6.93,5.91,1382799
2019-02-22 00:00:00+01:00,6.94,6.96,6.89,6.9,5.88,1039194
2019-02-25 00:00:00+01:00,6.95,7.0,6.92,6.95,5.92,2334886
2019-02-26 00:00:00+01:00,6.91,7.03,6.91,7.0,5.96,961096
2019-02-27 00:00:00+01:00,6.97,7.1,6.97,7.07,6.02,3020976
2019-02-28 00:00:00+01:00,7.05,7.25,7.03,7.22,6.15,3006821
2019-03-01 00:00:00+01:00,7.25,7.26,7.15,7.16,6.1,2863215
2019-03-04 00:00:00+01:00,7.2,7.22,7.1,7.14,6.08,1396783
2019-03-05 00:00:00+01:00,7.15,7.25,7.13,7.2,6.13,2120075
2019-03-06 00:00:00+01:00,7.2,7.24,7.14,7.16,6.09,3118964
2019-03-07 00:00:00+01:00,7.16,7.25,6.92,6.94,5.91,3622668
2019-03-08 00:00:00+01:00,6.91,6.94,6.85,6.88,5.86,1748553
2019-03-11 00:00:00+01:00,6.94,6.94,6.83,6.88,5.86,1403894
2019-03-12 00:00:00+01:00,6.9,6.92,6.8,6.85,5.83,2455195
2019-03-13 00:00:00+01:00,6.86,7.04,6.85,7.01,5.97,2774070
2019-03-14 00:00:00+01:00,7.01,7.1,6.96,6.96,5.93,8351527
2019-03-15 00:00:00+01:00,6.98,7.02,6.95,7.0,5.97,3092607
2019-03-18 00:00:00+01:00,7.02,7.17,7.02,7.13,6.07,2438689
2019-03-19 00:00:00+01:00,7.14,7.22,7.13,7.16,6.09,3729266
2019-03-20 00:00:00+01:00,7.14,7.19,7.06,7.06,6.01,1643609
2019-03-21 00:00:00+01:00,7.01,7.02,6.93,6.96,5.93,1652392
2019-03-22 00:00:00+01:00,7.03,7.03,6.9,6.94,5.91,3840133
2019-03-25 00:00:00+01:00,6.92,7.03,6.89,6.96,5.93,2490591
2019-03-26 00:00:00+01:00,6.91,6.91,6.78,6.8,5.87,3731814
2019-03-27 00:00:00+01:00,6.8,6.98,6.76,6.85,5.92,3537085
2019-03-28 00:00:00+01:00,6.83,6.85,6.76,6.79,5.87,1457598
2019-03-29 00:00:00+01:00,6.82,6.83,6.74,6.79,5.87,2198812
2019-04-01 00:00:00+02:00,6.82,7.03,6.82,7.01,6.06,2548682
2019-04-02 00:00:00+02:00,7.02,7.04,6.94,6.97,6.02,3381405
2019-04-03 00:00:00+02:00,7.03,7.1,7.0,7.1,6.13,2269401
2019-04-04 00:00:00+02:00,7.09,7.2,7.03,7.15,6.18,1879583
2019-04-05 00:00:00+02:00,7.15,7.22,7.08,7.15,6.18,1994164
2019-04-08 00:00:00+02:00,7.16,7.16,7.07,7.1,6.14,1050576
2019-04-09 00:00:00+02:00,7.09,7.15,7.0,7.04,6.08,3045246
2019-04-10 00:00:00+02:00,7.03,7.11,6.97,6.98,6.03,1867324
2019-04-11 00:00:00+02:00,7.0,7.1,6.94,7.08,6.12,1759544
2019-04-12 00:00:00+02:00,7.05,7.25,6.99,7.25,6.27,3418207
2019-04-15 00:00:00+02:00,7.25,7.29,7.2,7.28,6.29,2460718
2019-04-16 00:00:00+02:00,7.28,7.34,7.22,7.29,6.3,1676188
2019-04-17 00:00:00+02:00,7.3,7.4,7.28,7.35,6.35,1681942
2019-04-18 00:00:00+02:00,7.33,7.37,7.24,7.35,6.35,2170178
2019-04-23 00:00:00+02:00,7.35,7.35,7.12,7.14,6.17,2818178
2019-04-24 00:00:00+02:00,7.16,7.16,6.99,7.0,6.04,2049156
2019-04-25 00:00:00+02:00,7.08,7.08,6.95,7.0,6.05,2724343
2019-04-26 00:00:00+02:00,6.98,7.08,6.96,7.06,6.1,2459395
2019-04-29 00:00:00+02:00,7.02,7.18,7.02,7.18,6.2,2659041
2019-04-30 00:00:00+02:00,7.11,7.19,7.1,7.12,6.15,2421696
2019-05-02 00:00:00+02:00,7.1,7.2,7.04,7.1,6.13,1891101
2019-05-03 00:00:00+02:00,7.13,7.13,6.98,7.02,6.07,1914777
2019-05-06 00:00:00+02:00,6.9,6.97,6.86,6.96,6.01,1123150
2019-05-07 00:00:00+02:00,6.94,6.99,6.83,6.84,5.91,1465955
2019-05-08 00:00:00+02:00,6.82,6.91,6.78,6.91,5.97,1774967
2019-05-09 00:00:00+02:00,6.85,6.88,6.77,6.77,5.85,1595999
2019-05-10 00:00:00+02:00,6.81,6.87,6.76,6.78,5.86,1172171
2019-05-13 00:00:00+02:00,6.78,6.8,6.71,6.72,5.81,1364294
2019-05-14 00:00:00+02:00,6.75,6.76,6.65,6.68,5.77,1368978
2019-05-15 00:00:00+02:00,6.7,6.71,6.59,6.7,5.79,1340781
2019-05-16 00:00:00+02:00,6.69,6.77,6.64,6.77,5.85,2163467
2019-05-17 00:00:00+02:00,6.74,6.77,6.7,6.75,5.83,1346231
2019-05-20 00:00:00+02:00,6.71,6.81,6.68,6.72,5.8,1437866
2019-05-21 00:00:00+02:00,6.72,6.75,6.66,6.73,5.81,1144255
2019-05-22 00:00:00+02:00,6.67,6.71,6.57,6.57,5.68,2243258
2019-05-23 00:00:00+02:00,6.56,6.59,6.49,6.55,5.66,2241431
2019-05-24 00:00:00+02:00,6.56,6.6,6.52,6.56,5.67,1375976
2019-05-27 00:00:00+02:00,6.6,6.65,6.57,6.59,5.69,535573
2019-05-28 00:00:00+02:00,6.61,6.62,6.51,6.62,5.72,1999706
2019-05-29 00:00:00+02:00,6.59,6.61,6.51,6.56,5.67,2084279
2019-05-30 00:00:00+02:00,6.6,6.66,6.58,6.62,5.72,1125640
2019-05-31 00:00:00+02:00,6.55,6.58,6.44,6.48,5.6,1630093
2019-06-03 00:00:00+02:00,6.44,6.44,6.32,6.38,5.51,1977596
2019-06-04 00:00:00+02:00,6.35,6.51,6.35,6.47,5.59,2159362
2019-06-05 00:00:00+02:00,6.5,6.53,6.42,6.5,5.62,3002027
2019-06-06 00:00:00+02:00,6.49,6.59,6.31,6.32,5.46,3092320
2019-06-07 00:00:00+02:00,6.36,6.41,6.29,6.35,5.49,2840043
2019-06-10 00:00:00+02:00,6.38,6.46,6.37,6.45,5.57,3215243
2019-06-11 00:00:00+02:00,6.45,6.49,6.4,6.43,5.56,1956842
2019-06-12 00:00:00+02:00,6.37,6.42,6.27,6.3,5.44,2115161
2019-06-13 00:00:00+02:00,6.3,6.33,6.23,6.25,5.4,1845429
2019-06-14 00:00:00+02:00,6.2,6.22,6.13,6.15,5.32,2668849
2019-06-17 00:00:00+02:00,6.16,6.24,6.15,6.15,5.32,1569115
2019-06-18 00:00:00+02:00,6.15,6.15,5.95,6.02,5.2,6974684
2019-06-19 00:00:00+02:00,6.06,6.11,6.02,6.04,5.22,2829327
2019-06-20 00:00:00+02:00,6.07,6.09,5.9,5.9,5.1,3360276
2019-06-21 00:00:00+02:00,5.93,6.03,5.88,5.95,5.14,5427806
2019-06-24 00:00:00+02:00,5.89,5.98,5.86,5.94,5.19,2502485
2019-06-25 00:00:00+02:00,5.93,5.93,5.82,5.86,5.12,2589556
2019-06-26 00:00:00+02:00,5.88,5.95,5.81,5.89,5.14,3341264
2019-06-27 00:00:00+02:00,5.95,6.0,5.92,5.99,5.23,2216508
