Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,3.564,3.633,3.553,3.594,3.1463,84968776
2018-11-06 00:00:00+01:00,3.594,3.601,3.526,3.565,3.1209,79243375
2018-11-07 00:00:00+01:00,3.78,3.785,3.637,3.721,3.2575,54986027
2018-11-08 00:00:00+01:00,3.733,3.74,3.687,3.687,3.2277,12900085
2018-11-09 00:00:00+01:00,3.655,3.681,3.631,3.67,3.2128,62892598
2018-11-12 00:00:00+01:00,3.683,3.715,3.658,3.671,3.2137,8902646
2018-11-13 00:00:00+01:00,3.668,3.779,3.66,3.711,3.2487,20694137
2018-11-14 00:00:00+01:00,3.695,3.763,3.668,3.732,3.2671,11017637
2018-11-15 00:00:00+01:00,3.73,3.764,3.68,3.725,3.261,12995101
2018-11-16 00:00:00+01:00,3.74,3.778,3.705,3.727,3.2627,16795348
2018-11-19 00:00:00+01:00,3.739,3.772,3.711,3.711,3.2487,10812519
2018-11-20 00:00:00+01:00,3.69,3.701,3.638,3.66,3.2041,10453011
2018-11-21 00:00:00+01:00,3.68,3.708,3.655,3.683,3.2242,9664031
2018-11-22 00:00:00+01:00,3.66,3.673,3.642,3.653,3.1979,6632027
2018-11-23 00:00:00+01:00,3.656,3.68,3.63,3.646,3.1918,5970924
2018-11-26 00:00:00+01:00,3.682,3.743,3.68,3.711,3.2487,12728348
2018-11-27 00:00:00+01:00,3.71,3.71,3.618,3.648,3.1936,15026619
2018-11-28 00:00:00+01:00,3.66,3.665,3.529,3.573,3.1279,27767826
2018-11-29 00:00:00+01:00,3.62,3.63,3.567,3.62,3.169,12109093
2018-11-30 00:00:00+01:00,3.61,3.657,3.597,3.635,3.1822,13260550
2018-12-03 00:00:00+01:00,3.699,3.7,3.628,3.628,3.1761,11569351
2018-12-04 00:00:00+01:00,3.58,3.595,3.525,3.525,3.0859,13268681
2018-12-05 00:00:00+01:00,3.5,3.524,3.45,3.472,3.0395,14251445
2018-12-06 00:00:00+01:00,3.438,3.443,3.306,3.32,2.9064,18122553
2018-12-07 00:00:00+01:00,3.35,3.418,3.324,3.362,2.9432,13256314
2018-12-10 00:00:00+01:00,3.339,3.373,3.3,3.3,2.8889,9574665
2018-12-11 00:00:00+01:00,3.324,3.351,3.301,3.312,2.8994,10917801
2018-12-12 00:00:00+01:00,3.327,3.407,3.327,3.383,2.9616,16871770
2018-12-13 00:00:00+01:00,3.407,3.428,3.372,3.405,2.9808,21863411
2018-12-14 00:00:00+01:00,3.376,3.397,3.322,3.39,2.9677,12573939
2018-12-17 00:00:00+01:00,3.372,3.415,3.355,3.357,2.9388,10369495
2018-12-18 00:00:00+01:00,3.346,3.376,3.32,3.32,2.9064,13693871
2018-12-19 00:00:00+01:00,3.323,3.372,3.323,3.355,2.9371,12513382
2018-12-20 00:00:00+01:00,3.304,3.347,3.269,3.273,2.8653,15062702
2018-12-21 00:00:00+01:00,3.271,3.294,3.145,3.167,2.7725,30399579
2018-12-24 00:00:00+01:00,3.14,3.177,3.09,3.09,2.7051,4937530
2018-12-27 00:00:00+01:00,3.172,3.172,3.034,3.061,2.6797,16650454
2018-12-28 00:00:00+01:00,3.077,3.135,3.062,3.134,2.7436,10540354
2018-12-31 00:00:00+01:00,3.125,3.174,3.112,3.164,2.7699,4569129
2019-01-02 00:00:00+01:00,3.12,3.15,3.065,3.129,2.7392,12493309
2019-01-03 00:00:00+01:00,3.127,3.171,3.107,3.127,2.7375,9456811
2019-01-04 00:00:00+01:00,3.169,3.252,3.147,3.247,2.8425,11865877
2019-01-07 00:00:00+01:00,3.257,3.272,3.216,3.266,2.8591,9318885
2019-01-08 00:00:00+01:00,3.271,3.294,3.235,3.272,2.8644,14102027
2019-01-09 00:00:00+01:00,3.289,3.322,3.236,3.246,2.8416,15373877
2019-01-10 00:00:00+01:00,3.224,3.247,3.198,3.223,2.8215,11084807
