Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,18.91,19.41,18.91,19.19,19.06,483503
2018-11-06 00:00:00+01:00,19.2,19.38,18.89,19.01,18.88,1051622
2018-11-07 00:00:00+01:00,19.1,19.73,19.1,19.65,19.51,1453057
2018-11-08 00:00:00+01:00,19.65,19.82,19.03,19.13,19.0,1109438
2018-11-09 00:00:00+01:00,19.14,19.94,19.14,19.41,19.27,562252
2018-11-12 00:00:00+01:00,19.48,19.56,19.09,19.48,19.34,924985
2018-11-13 00:00:00+01:00,19.61,19.85,19.29,19.78,19.64,883034
2018-11-14 00:00:00+01:00,19.79,19.84,19.49,19.83,19.69,481470
2018-11-15 00:00:00+01:00,19.87,20.29,19.81,20.22,20.08,858346
2018-11-16 00:00:00+01:00,20.26,20.87,20.26,20.45,20.31,835831
2018-11-19 00:00:00+01:00,20.55,20.68,20.25,20.37,20.23,565560
2018-11-20 00:00:00+01:00,20.25,20.29,19.82,19.94,19.84,663389
2018-11-21 00:00:00+01:00,19.96,20.07,19.8,19.96,19.87,399702
2018-11-22 00:00:00+01:00,20.03,20.12,19.51,19.58,19.49,482353
2018-11-23 00:00:00+01:00,19.56,20.0,19.44,19.91,19.81,643684
2018-11-26 00:00:00+01:00,20.04,20.42,19.96,20.34,20.24,488059
2018-11-27 00:00:00+01:00,20.45,21.07,20.44,20.92,20.82,1620003
2018-11-28 00:00:00+01:00,21.02,21.36,20.84,21.35,21.24,755130
2018-11-29 00:00:00+01:00,21.55,21.86,21.46,21.61,21.51,634351
2018-11-30 00:00:00+01:00,21.63,21.82,21.51,21.58,21.47,741519
2018-12-03 00:00:00+01:00,22.02,22.02,21.39,21.39,21.29,1233950
2018-12-04 00:00:00+01:00,21.36,21.49,21.21,21.36,21.26,421680
2018-12-05 00:00:00+01:00,21.18,21.36,20.96,21.22,21.12,541850
2018-12-06 00:00:00+01:00,20.98,21.3,20.75,20.9,20.8,710746
2018-12-07 00:00:00+01:00,21.01,21.42,21.0,21.1,21.0,429817
2018-12-10 00:00:00+01:00,20.98,21.09,20.8,20.89,20.79,771851
2018-12-11 00:00:00+01:00,21.07,21.32,20.88,20.88,20.78,876620
2018-12-12 00:00:00+01:00,20.92,21.38,20.92,21.21,21.11,620360
2018-12-13 00:00:00+01:00,21.29,21.95,21.18,21.5,21.39,751203
2018-12-14 00:00:00+01:00,21.13,21.26,20.43,21.15,21.05,688461
2018-12-17 00:00:00+01:00,21.14,21.21,20.77,21.08,20.98,875139
2018-12-18 00:00:00+01:00,20.94,20.99,20.59,20.65,20.55,896014
2018-12-19 00:00:00+01:00,20.68,20.8,20.39,20.49,20.39,850238
