Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,18.52,18.75,18.52,18.68,13.92,835005
2018-11-06 00:00:00+01:00,18.85,19.18,18.68,19.18,14.29,1995393
2018-11-07 00:00:00+01:00,19.2,19.59,19.18,19.59,14.59,2755359
2018-11-08 00:00:00+01:00,19.52,19.86,19.52,19.79,14.74,1773557
2018-11-09 00:00:00+01:00,19.75,19.92,19.6,19.85,14.79,1329876
2018-11-12 00:00:00+01:00,19.84,19.89,19.68,19.83,14.77,865566
2018-11-13 00:00:00+01:00,19.78,19.99,19.78,19.98,14.88,1961734
2018-11-14 00:00:00+01:00,19.92,20.08,19.75,20.02,14.91,1824493
2018-11-15 00:00:00+01:00,20.07,20.24,19.98,20.0,14.9,1952399
2018-11-16 00:00:00+01:00,20.05,20.13,19.92,20.04,14.93,1638392
2018-11-19 00:00:00+01:00,20.1,20.33,20.09,20.22,15.06,1150028
2018-11-20 00:00:00+01:00,20.22,20.36,20.13,20.27,15.1,1532639
2018-11-21 00:00:00+01:00,20.3,20.35,19.52,19.74,14.7,2067424
2018-11-22 00:00:00+01:00,19.69,19.93,19.58,19.73,14.69,914445
2018-11-23 00:00:00+01:00,19.7,19.82,19.61,19.7,14.67,1223815
2018-11-26 00:00:00+01:00,19.78,19.96,19.75,19.96,14.87,2990832
2018-11-27 00:00:00+01:00,20.0,20.25,19.88,20.06,14.94,1390417
2018-11-28 00:00:00+01:00,20.06,20.19,19.35,19.97,14.88,3086646
2018-11-29 00:00:00+01:00,20.02,20.15,19.65,19.65,14.63,1078767
2018-11-30 00:00:00+01:00,19.66,19.76,19.58,19.68,14.66,1634685
2018-12-03 00:00:00+01:00,20.0,20.0,19.76,19.86,14.8,969123
2018-12-04 00:00:00+01:00,19.92,20.08,19.89,20.08,14.96,888087
2018-12-05 00:00:00+01:00,19.92,20.14,19.85,20.14,15.0,690967
2018-12-06 00:00:00+01:00,20.06,20.2,19.89,20.05,14.93,1623618
2018-12-07 00:00:00+01:00,20.1,20.3,20.09,20.2,15.05,1065503
2018-12-10 00:00:00+01:00,20.2,20.35,20.16,20.16,15.02,1754770
2018-12-11 00:00:00+01:00,20.21,20.7,20.16,20.59,15.34,3479457
2018-12-12 00:00:00+01:00,20.67,21.0,20.65,20.87,15.55,1782102
2018-12-13 00:00:00+01:00,20.96,21.2,20.75,21.12,15.73,1735868
2018-12-14 00:00:00+01:00,21.18,21.28,21.0,21.07,15.69,3303558
2018-12-17 00:00:00+01:00,20.97,21.31,20.96,21.11,15.72,1956792
