Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,23.06,23.42,23.06,23.27,17.89,736118
2018-11-06 00:00:00+01:00,23.27,23.75,23.26,23.74,18.25,859475
2018-11-07 00:00:00+01:00,23.8,24.1,23.78,23.96,18.42,1077272
2018-11-08 00:00:00+01:00,23.98,24.18,23.95,24.18,18.59,896418
2018-11-09 00:00:00+01:00,24.08,24.62,24.03,24.6,18.91,884774
2018-11-12 00:00:00+01:00,24.48,24.66,24.23,24.37,18.73,807544
2018-11-13 00:00:00+01:00,24.42,24.52,24.25,24.43,18.78,702098
2018-11-14 00:00:00+01:00,24.43,24.72,24.31,24.6,18.91,1140043
2018-11-15 00:00:00+01:00,24.6,24.78,24.33,24.34,18.71,837980
2018-11-16 00:00:00+01:00,24.39,24.47,24.06,24.21,18.61,1176803
2018-11-19 00:00:00+01:00,24.27,24.33,24.04,24.32,18.7,632108
2018-11-20 00:00:00+01:00,24.36,24.56,24.28,24.4,18.76,1444307
2018-11-21 00:00:00+01:00,24.43,24.8,24.4,24.58,18.9,801927
2018-11-22 00:00:00+01:00,24.63,24.64,24.27,24.31,18.69,524186
2018-11-23 00:00:00+01:00,24.3,24.44,24.18,24.27,18.66,2414638
2018-11-26 00:00:00+01:00,24.34,24.7,24.28,24.55,18.87,553918
2018-11-27 00:00:00+01:00,24.3,24.55,24.27,24.48,18.82,865287
2018-11-28 00:00:00+01:00,24.2,24.49,23.81,24.12,18.54,1509868
2018-11-29 00:00:00+01:00,24.2,24.25,23.77,24.07,18.5,876978
2018-11-30 00:00:00+01:00,24.1,24.31,24.0,24.27,18.66,1210364
2018-12-03 00:00:00+01:00,24.55,24.65,24.12,24.12,18.54,1151145
2018-12-04 00:00:00+01:00,24.17,24.54,24.17,24.54,18.87,3008760
2018-12-05 00:00:00+01:00,24.43,24.64,24.32,24.62,18.93,3863941
2018-12-06 00:00:00+01:00,24.57,24.61,24.12,24.16,18.57,3459790
2018-12-07 00:00:00+01:00,24.24,24.68,24.24,24.62,18.93,990792
2018-12-10 00:00:00+01:00,24.6,24.66,24.19,24.19,18.6,939072
2018-12-11 00:00:00+01:00,24.38,24.93,24.2,24.93,19.17,2680409
2018-12-12 00:00:00+01:00,24.9,25.51,24.9,25.28,19.43,3026140
2018-12-13 00:00:00+01:00,25.35,25.65,25.15,25.52,19.62,1518107
2018-12-14 00:00:00+01:00,25.44,25.77,25.44,25.71,19.77,1151646
2018-12-17 00:00:00+01:00,25.19,25.59,24.99,25.02,19.7,1302033
2018-12-18 00:00:00+01:00,24.95,24.98,24.4,24.4,19.22,3888615
2018-12-19 00:00:00+01:00,24.41,24.67,24.35,24.65,19.41,6354491
2018-12-20 00:00:00+01:00,24.42,24.69,24.26,24.41,19.22,992189
2018-12-21 00:00:00+01:00,24.3,24.41,23.9,23.95,18.86,1823605
2018-12-24 00:00:00+01:00,23.86,24.22,23.86,24.06,18.95,308135
2018-12-27 00:00:00+01:00,24.12,24.19,23.18,23.23,18.29,1376228
2018-12-28 00:00:00+01:00,23.35,23.52,23.24,23.38,18.41,851390
2018-12-31 00:00:00+01:00,23.29,23.83,23.29,23.61,18.59,468566
2019-01-02 00:00:00+01:00,23.44,24.1,23.24,24.03,18.92,638805
2019-01-03 00:00:00+01:00,23.96,24.47,23.9,24.33,19.16,960210
2019-01-04 00:00:00+01:00,24.46,24.53,24.28,24.38,19.2,722961
2019-01-07 00:00:00+01:00,24.36,24.5,24.16,24.36,19.18,651678
2019-01-08 00:00:00+01:00,24.35,24.71,24.35,24.7,19.45,1554724
2019-01-09 00:00:00+01:00,24.75,24.83,24.44,24.59,19.37,1024127
2019-01-10 00:00:00+01:00,24.54,24.99,24.54,24.99,19.68,1090719
2019-01-11 00:00:00+01:00,24.94,25.28,24.77,24.95,19.65,940406
