Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,7.062,7.092,7.0,7.02,5.8462,1768710
2018-11-06 00:00:00+01:00,7.002,7.1,6.974,7.01,5.8379,3558546
2018-11-07 00:00:00+01:00,7.01,7.226,7.01,7.22,6.0127,1729476
2018-11-08 00:00:00+01:00,7.224,7.262,7.142,7.262,6.0477,1402533
2018-11-09 00:00:00+01:00,7.252,7.39,7.226,7.38,6.146,1485295
2018-11-12 00:00:00+01:00,7.4,7.4,7.196,7.282,6.0644,2515273
2018-11-13 00:00:00+01:00,7.342,7.544,7.316,7.528,6.2692,3539928
2018-11-14 00:00:00+01:00,7.54,7.626,7.428,7.466,6.2176,2297940
2018-11-15 00:00:00+01:00,7.47,7.528,7.024,7.116,5.9261,3251424
2018-11-16 00:00:00+01:00,7.178,7.26,7.076,7.166,5.9678,2988016
2018-11-19 00:00:00+01:00,7.184,7.336,7.144,7.144,5.9495,1418626
2018-11-20 00:00:00+01:00,7.11,7.142,6.918,7.09,5.9045,1876698
2018-11-21 00:00:00+01:00,7.128,7.238,7.116,7.178,5.9778,3210414
2018-11-22 00:00:00+01:00,7.15,7.24,7.096,7.22,6.0127,3175550
2018-11-23 00:00:00+01:00,7.238,7.342,7.208,7.304,6.0827,12842507
2018-11-26 00:00:00+01:00,7.36,7.456,7.36,7.456,6.2093,11423188
2018-11-27 00:00:00+01:00,7.428,7.526,7.316,7.406,6.1676,11271768
2018-11-28 00:00:00+01:00,7.466,7.47,7.122,7.122,5.9311,13833604
2018-11-29 00:00:00+01:00,7.1,7.19,7.004,7.046,5.9481,5932962
2018-11-30 00:00:00+01:00,7.056,7.09,6.988,7.06,5.9599,15071180
2018-12-03 00:00:00+01:00,7.184,7.19,6.932,7.04,5.9431,12608841
2018-12-04 00:00:00+01:00,7.0,7.084,6.828,6.836,5.7708,10708798
2018-12-05 00:00:00+01:00,6.778,7.028,6.706,6.98,5.8924,17623029
2018-12-06 00:00:00+01:00,6.884,6.884,6.74,6.838,5.7725,1767560
2018-12-07 00:00:00+01:00,6.902,6.904,6.77,6.77,5.7151,3353400
2018-12-10 00:00:00+01:00,6.71,6.746,6.438,6.448,5.4433,2024870
2018-12-11 00:00:00+01:00,6.436,6.66,6.428,6.626,5.5936,5027139
2018-12-12 00:00:00+01:00,6.65,6.8,6.55,6.764,5.7101,2139461
2018-12-13 00:00:00+01:00,6.762,6.888,6.752,6.81,5.7489,1643660
2018-12-14 00:00:00+01:00,6.788,6.954,6.608,6.912,5.835,2711742
2018-12-17 00:00:00+01:00,6.938,6.938,6.602,6.662,5.624,5119429
2018-12-18 00:00:00+01:00,6.662,6.82,6.604,6.78,5.7236,3797504
2018-12-19 00:00:00+01:00,6.828,6.876,6.718,6.726,5.678,4031209
2018-12-20 00:00:00+01:00,6.6,6.806,6.54,6.788,5.7303,2830845
2018-12-21 00:00:00+01:00,6.758,6.846,6.734,6.842,5.7759,7107172
2018-12-24 00:00:00+01:00,6.8,6.876,6.592,6.592,5.5649,3589074
2018-12-27 00:00:00+01:00,6.65,6.84,6.626,6.706,5.6611,2038539
2018-12-28 00:00:00+01:00,6.712,6.858,6.708,6.852,5.7844,1043595
2018-12-31 00:00:00+01:00,6.896,6.994,6.864,6.92,5.8418,578801
2019-01-02 00:00:00+01:00,6.664,6.744,6.66,6.684,5.6425,991032
2019-01-03 00:00:00+01:00,6.61,6.85,6.444,6.462,5.4551,1935071
2019-01-04 00:00:00+01:00,6.502,6.616,6.482,6.598,5.5699,1462198
2019-01-07 00:00:00+01:00,6.634,6.734,6.608,6.646,5.6105,1657197
2019-01-08 00:00:00+01:00,6.694,6.726,6.56,6.648,5.6121,3153184
2019-01-09 00:00:00+01:00,6.71,6.72,6.602,6.652,5.6155,1502123
2019-01-10 00:00:00+01:00,6.602,6.724,6.478,6.588,5.5615,2925197
2019-01-11 00:00:00+01:00,6.6,6.836,6.576,6.804,5.7438,1845332
2019-01-14 00:00:00+01:00,6.798,6.888,6.718,6.8,5.7405,1755224
2019-01-15 00:00:00+01:00,6.86,6.88,6.626,6.674,5.6341,2575341
2019-01-16 00:00:00+01:00,6.75,6.958,6.744,6.924,5.8451,2133843
2019-01-17 00:00:00+01:00,6.834,7.004,6.81,7.002,5.911,1891327
2019-01-18 00:00:00+01:00,6.978,7.054,6.876,7.02,5.9262,2233187
2019-01-21 00:00:00+01:00,6.958,7.118,6.952,7.066,5.965,992093
2019-01-22 00:00:00+01:00,6.954,7.132,6.898,7.074,5.9718,6935166
2019-01-23 00:00:00+01:00,7.042,7.268,7.036,7.23,6.1035,1643914
2019-01-24 00:00:00+01:00,7.226,7.392,7.196,7.284,6.149,2302239
2019-01-25 00:00:00+01:00,7.318,7.39,7.26,7.29,6.1541,1196016
2019-01-28 00:00:00+01:00,7.27,7.352,7.152,7.16,6.0444,1265735
2019-01-29 00:00:00+01:00,7.15,7.442,7.15,7.386,6.2352,2229208
2019-01-30 00:00:00+01:00,7.322,7.444,7.3,7.44,6.2807,2886794
2019-01-31 00:00:00+01:00,7.42,7.42,7.304,7.384,6.2335,1337767
2019-02-01 00:00:00+01:00,7.356,7.472,7.356,7.442,6.2824,1283805
2019-02-04 00:00:00+01:00,7.38,7.514,7.37,7.514,6.3432,1072717
2019-02-05 00:00:00+01:00,7.516,7.564,7.48,7.514,6.3432,984474
2019-02-06 00:00:00+01:00,7.53,7.6,7.5,7.592,6.4091,1067248
2019-02-07 00:00:00+01:00,7.534,7.63,7.496,7.566,6.3871,1265785
2019-02-08 00:00:00+01:00,7.568,7.598,7.49,7.506,6.3365,1964032
2019-02-11 00:00:00+01:00,7.52,7.596,7.5,7.558,6.3804,1538206
2019-02-12 00:00:00+01:00,7.6,7.61,7.398,7.398,6.2453,2819713
2019-02-13 00:00:00+01:00,7.436,7.536,7.418,7.51,6.3398,1663463
2019-02-14 00:00:00+01:00,7.498,7.554,7.354,7.354,6.2081,1551537
2019-02-15 00:00:00+01:00,7.354,7.59,7.354,7.574,6.3939,1308136
2019-02-18 00:00:00+01:00,7.518,7.54,7.394,7.412,6.2571,1958161
2019-02-19 00:00:00+01:00,7.38,7.46,7.364,7.396,6.2436,1032046
2019-02-20 00:00:00+01:00,7.44,7.518,7.386,7.466,6.3027,2779901
2019-02-21 00:00:00+01:00,7.486,7.486,7.38,7.42,6.2639,10257262
2019-02-22 00:00:00+01:00,7.432,7.48,7.382,7.456,6.2942,1022457
2019-02-25 00:00:00+01:00,7.49,7.494,7.418,7.43,6.2723,644402
2019-02-26 00:00:00+01:00,7.208,7.26,7.122,7.186,6.0663,5530470
2019-02-27 00:00:00+01:00,7.152,7.19,6.956,7.004,5.9127,6333410
2019-02-28 00:00:00+01:00,7.192,7.29,6.944,6.956,5.8722,58457525
2019-03-01 00:00:00+01:00,7.0,7.092,7.0,7.0,5.9093,10463758
2019-03-04 00:00:00+01:00,7.024,7.062,6.67,6.67,5.6307,5224822
2019-03-05 00:00:00+01:00,6.67,6.728,6.634,6.69,5.6476,3502216
2019-03-06 00:00:00+01:00,6.64,6.712,6.59,6.642,5.6071,5912560
2019-03-07 00:00:00+01:00,6.626,6.67,6.424,6.446,5.4416,5183996
2019-03-08 00:00:00+01:00,6.42,6.43,6.218,6.24,5.2677,5288146
2019-03-11 00:00:00+01:00,6.25,6.358,6.19,6.256,5.2812,3141070
2019-03-12 00:00:00+01:00,6.35,6.356,6.13,6.156,5.1968,6998153
2019-03-13 00:00:00+01:00,6.228,6.304,6.156,6.284,5.3049,3012443
2019-03-14 00:00:00+01:00,6.27,6.448,6.23,6.372,5.3791,6108340
2019-03-15 00:00:00+01:00,6.38,6.462,6.336,6.45,5.445,4083575
2019-03-18 00:00:00+01:00,6.46,6.484,6.302,6.308,5.3251,3155376
2019-03-19 00:00:00+01:00,6.35,6.47,6.31,6.45,5.445,4547154
2019-03-20 00:00:00+01:00,6.42,6.432,6.244,6.244,5.2711,3482716
2019-03-21 00:00:00+01:00,6.2,6.244,6.096,6.136,5.1799,3969834
2019-03-22 00:00:00+01:00,6.192,6.216,6.096,6.1,5.1495,2787590
2019-03-25 00:00:00+01:00,6.076,6.114,6.01,6.064,5.1191,3159787
2019-03-26 00:00:00+01:00,6.088,6.094,5.83,5.966,5.0364,3410024
2019-03-27 00:00:00+01:00,5.98,6.066,5.966,6.038,5.0972,2273363
2019-03-28 00:00:00+01:00,6.05,6.118,5.944,5.946,5.0195,3007849
2019-03-29 00:00:00+01:00,5.946,5.984,5.86,5.932,5.0077,6348871
2019-04-01 00:00:00+02:00,5.93,5.93,5.81,5.884,4.9672,3365342
2019-04-02 00:00:00+02:00,5.884,5.94,5.812,5.914,4.9925,4251811
2019-04-03 00:00:00+02:00,5.972,6.21,5.966,6.178,5.2154,4895174
2019-04-04 00:00:00+02:00,6.208,6.248,6.11,6.11,5.158,3578836
2019-04-05 00:00:00+02:00,6.11,6.15,5.98,6.066,5.1208,3838007
2019-04-08 00:00:00+02:00,6.076,6.118,6.042,6.05,5.1073,5187027
2019-04-09 00:00:00+02:00,6.054,6.054,5.932,5.95,5.0229,3438916
2019-04-10 00:00:00+02:00,6.0,6.058,5.94,5.976,5.0449,2747188
2019-04-11 00:00:00+02:00,6.032,6.326,6.01,6.326,5.3403,3987576
2019-04-12 00:00:00+02:00,6.334,6.412,6.21,6.278,5.2998,3651412
2019-04-15 00:00:00+02:00,6.32,6.362,6.244,6.306,5.3234,3263063
2019-04-16 00:00:00+02:00,6.25,6.424,6.19,6.386,5.391,2915640
2019-04-17 00:00:00+02:00,6.352,6.538,6.32,6.472,5.4636,5170333
2019-04-18 00:00:00+02:00,6.42,6.472,6.372,6.438,5.4349,1548448
2019-04-23 00:00:00+02:00,6.438,6.438,6.192,6.204,5.2373,3336059
2019-04-24 00:00:00+02:00,6.21,6.246,6.168,6.168,5.2069,3080062
2019-04-25 00:00:00+02:00,6.19,6.218,6.134,6.16,5.2002,2157845
2019-04-26 00:00:00+02:00,6.166,6.214,6.104,6.186,5.2221,2047315
2019-04-29 00:00:00+02:00,6.22,6.378,6.22,6.322,5.3369,2564739
2019-04-30 00:00:00+02:00,6.302,6.344,6.234,6.3,5.3184,3225347
2019-05-02 00:00:00+02:00,6.314,6.384,6.232,6.244,5.2711,2281324
2019-05-03 00:00:00+02:00,6.27,6.27,6.13,6.16,5.2002,1998021
2019-05-06 00:00:00+02:00,6.072,6.148,6.038,6.146,5.1884,1036567
2019-05-07 00:00:00+02:00,6.102,6.212,6.006,6.006,5.0702,1633570
2019-05-08 00:00:00+02:00,6.026,6.026,5.816,5.82,4.9132,3615716
2019-05-09 00:00:00+02:00,5.85,5.85,5.656,5.674,4.7899,4725901
2019-05-10 00:00:00+02:00,5.862,5.97,5.726,5.768,4.8693,2763815
2019-05-13 00:00:00+02:00,5.818,5.896,5.78,5.8,4.8963,1985156
2019-05-14 00:00:00+02:00,5.816,5.88,5.75,5.848,4.9368,2161363
2019-05-15 00:00:00+02:00,5.9,5.916,5.756,5.826,4.9182,1854530
2019-05-16 00:00:00+02:00,5.824,5.824,5.688,5.75,4.8541,5239839
2019-05-17 00:00:00+02:00,5.74,5.834,5.682,5.796,4.8929,1773081
2019-05-20 00:00:00+02:00,5.8,5.8,5.702,5.72,4.8287,2380905
2019-05-21 00:00:00+02:00,5.752,5.76,5.592,5.63,4.7528,2913625
2019-05-22 00:00:00+02:00,5.646,5.646,5.35,5.364,4.5282,4205611
2019-05-23 00:00:00+02:00,5.346,5.44,5.216,5.416,4.5721,2936245
2019-05-24 00:00:00+02:00,5.444,5.46,5.292,5.3,4.4742,2155081
2019-05-27 00:00:00+02:00,5.314,5.354,5.296,5.326,4.4961,1071419
2019-05-28 00:00:00+02:00,5.31,5.35,5.224,5.224,4.41,2918364
2019-05-29 00:00:00+02:00,5.2,5.256,5.126,5.216,4.4033,1996028
2019-05-30 00:00:00+02:00,5.22,5.258,5.182,5.222,4.4083,1064596
2019-05-31 00:00:00+02:00,5.186,5.186,5.098,5.102,4.307,2465213
2019-06-03 00:00:00+02:00,5.064,5.106,4.982,5.058,4.2699,1858788
2019-06-04 00:00:00+02:00,5.028,5.26,5.008,5.24,4.4235,3583410
2019-06-05 00:00:00+02:00,5.334,5.368,5.24,5.302,4.4759,2797514
2019-06-06 00:00:00+02:00,5.338,5.348,5.258,5.288,4.4641,2257842
2019-06-07 00:00:00+02:00,5.28,5.336,5.232,5.25,4.432,1732948
2019-06-10 00:00:00+02:00,5.27,5.322,5.25,5.25,4.432,1173127
2019-06-11 00:00:00+02:00,5.27,5.308,5.196,5.246,4.4286,1633454
2019-06-12 00:00:00+02:00,5.21,5.266,5.134,5.162,4.3577,1477776
2019-06-13 00:00:00+02:00,5.16,5.286,5.13,5.264,4.4438,1265745
2019-06-14 00:00:00+02:00,5.254,5.276,5.164,5.182,4.3746,1357679
2019-06-17 00:00:00+02:00,5.092,5.092,4.987,5.034,4.2496,2487964
2019-06-18 00:00:00+02:00,5.062,5.148,4.98,5.128,4.329,5549814
2019-06-19 00:00:00+02:00,5.086,5.128,4.854,4.998,4.2192,4705485
2019-06-20 00:00:00+02:00,4.994,5.13,4.95,5.118,4.3205,3119963
2019-06-21 00:00:00+02:00,5.146,5.184,5.082,5.154,4.3509,5948362
2019-06-24 00:00:00+02:00,5.234,5.234,5.044,5.044,4.2581,9837055
2019-06-25 00:00:00+02:00,5.046,5.046,4.918,4.92,4.1534,15661666
2019-06-26 00:00:00+02:00,4.932,5.022,4.905,5.012,4.2311,7349362
2019-06-27 00:00:00+02:00,5.034,5.142,5.034,5.078,4.2868,7328364
2019-06-28 00:00:00+02:00,5.1,5.354,5.056,5.316,4.4877,8689746
2019-07-01 00:00:00+02:00,5.434,5.434,5.22,5.27,4.4489,4005969
