Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,6.29,6.35,6.29,6.33,5.36,15475737
2018-11-06 00:00:00+01:00,6.32,6.4,6.27,6.37,5.4,12829901
2018-11-07 00:00:00+01:00,6.42,6.51,6.42,6.47,5.48,14330385
2018-11-08 00:00:00+01:00,6.48,6.55,6.46,6.52,5.52,10780402
2018-11-09 00:00:00+01:00,6.51,6.59,6.49,6.57,5.56,11799305
2018-11-12 00:00:00+01:00,6.58,6.59,6.54,6.58,5.57,9114350
2018-11-13 00:00:00+01:00,6.57,6.63,6.56,6.61,5.6,10286960
2018-11-14 00:00:00+01:00,6.6,6.75,6.59,6.7,5.67,18237643
2018-11-15 00:00:00+01:00,6.73,6.78,6.67,6.71,5.69,16103947
2018-11-16 00:00:00+01:00,6.73,6.77,6.64,6.68,5.66,22142284
2018-11-19 00:00:00+01:00,6.7,6.76,6.67,6.7,5.67,8062347
2018-11-20 00:00:00+01:00,6.68,6.73,6.58,6.63,5.61,12357936
2018-11-21 00:00:00+01:00,6.65,6.7,6.57,6.62,5.61,14618044
2018-11-22 00:00:00+01:00,6.59,6.65,6.55,6.59,5.58,16565034
2018-11-23 00:00:00+01:00,6.58,6.62,6.58,6.62,5.61,8587202
2018-11-26 00:00:00+01:00,6.65,6.73,6.65,6.7,5.68,14616591
2018-11-27 00:00:00+01:00,6.75,6.8,6.72,6.77,5.73,13897274
2018-11-28 00:00:00+01:00,6.8,6.8,6.7,6.7,5.67,15033738
2018-11-29 00:00:00+01:00,6.73,6.75,6.58,6.6,5.59,18820672
2018-11-30 00:00:00+01:00,6.56,6.63,6.53,6.59,5.58,25046507
2018-12-03 00:00:00+01:00,6.7,6.7,6.61,6.62,5.6,12710141
2018-12-04 00:00:00+01:00,6.63,6.66,6.58,6.63,5.62,13296897
2018-12-05 00:00:00+01:00,6.61,6.65,6.59,6.64,5.63,9575536
2018-12-06 00:00:00+01:00,6.59,6.63,6.52,6.53,5.53,16406508
2018-12-07 00:00:00+01:00,6.55,6.64,6.55,6.6,5.59,31741325
2018-12-10 00:00:00+01:00,6.57,6.63,6.54,6.57,5.56,13344035
2018-12-11 00:00:00+01:00,6.59,6.74,6.56,6.7,5.68,19752981
2018-12-12 00:00:00+01:00,6.72,6.87,6.72,6.85,5.8,20742798
2018-12-13 00:00:00+01:00,6.9,7.05,6.9,7.01,5.93,27500395
2018-12-14 00:00:00+01:00,6.97,7.04,6.96,7.03,5.95,15746743
2018-12-17 00:00:00+01:00,7.0,7.17,7.0,7.1,6.01,22691253
2018-12-18 00:00:00+01:00,7.12,7.14,6.96,6.97,5.9,25163009
