Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,2.64,2.673,2.634,2.647,1.8976,2889048
2018-11-06 00:00:00+01:00,2.64,2.646,2.599,2.617,1.8761,2695578
2018-11-07 00:00:00+01:00,2.629,2.661,2.629,2.636,1.8897,3617994
2018-11-08 00:00:00+01:00,2.63,2.632,2.532,2.55,1.8281,6611381
2018-11-09 00:00:00+01:00,2.57,2.57,2.522,2.548,1.8266,5133270
2018-11-12 00:00:00+01:00,2.552,2.576,2.543,2.555,1.8317,2749802
2018-11-13 00:00:00+01:00,2.559,2.569,2.54,2.569,1.8417,3668434
2018-11-14 00:00:00+01:00,2.552,2.578,2.523,2.56,1.8352,3653584
2018-11-15 00:00:00+01:00,2.565,2.586,2.522,2.548,1.8266,4924407
2018-11-16 00:00:00+01:00,2.559,2.564,2.532,2.54,1.8209,3612290
2018-11-19 00:00:00+01:00,2.541,2.566,2.531,2.533,1.8159,2669182
2018-11-20 00:00:00+01:00,2.535,2.537,2.48,2.491,1.7858,5160934
2018-11-21 00:00:00+01:00,2.505,2.523,2.496,2.512,1.8008,2348220
2018-11-22 00:00:00+01:00,2.51,2.51,2.48,2.481,1.7786,2207391
2018-11-23 00:00:00+01:00,2.481,2.504,2.472,2.495,1.7886,2334200
2018-11-26 00:00:00+01:00,2.51,2.55,2.502,2.54,1.8209,2788461
2018-11-27 00:00:00+01:00,2.545,2.556,2.525,2.532,1.8152,2752682
2018-11-28 00:00:00+01:00,2.534,2.545,2.508,2.515,1.803,2836915
2018-11-29 00:00:00+01:00,2.528,2.54,2.505,2.524,1.8094,3672231
2018-11-30 00:00:00+01:00,2.524,2.533,2.496,2.525,1.8101,6655816
2018-12-03 00:00:00+01:00,2.559,2.565,2.533,2.533,1.8159,4331471
2018-12-04 00:00:00+01:00,2.533,2.544,2.502,2.503,1.7944,5928845
2018-12-05 00:00:00+01:00,2.491,2.51,2.478,2.485,1.7815,3644324
2018-12-06 00:00:00+01:00,2.478,2.481,2.41,2.425,1.7385,5460262
2018-12-07 00:00:00+01:00,2.44,2.453,2.408,2.408,1.7263,4017882
2018-12-10 00:00:00+01:00,2.404,2.41,2.36,2.365,1.6954,3766082
2018-12-11 00:00:00+01:00,2.38,2.415,2.362,2.39,1.7134,3259465
2018-12-12 00:00:00+01:00,2.397,2.43,2.397,2.413,1.7299,4874824
2018-12-13 00:00:00+01:00,2.423,2.43,2.383,2.392,1.7148,5082378
2018-12-14 00:00:00+01:00,2.388,2.399,2.353,2.381,1.7069,4652760
2018-12-17 00:00:00+01:00,2.376,2.404,2.372,2.393,1.7155,3929454
2018-12-18 00:00:00+01:00,2.353,2.369,2.336,2.35,1.7284,7313796
2018-12-19 00:00:00+01:00,2.352,2.373,2.343,2.363,1.7379,3559922
2018-12-20 00:00:00+01:00,2.334,2.365,2.326,2.363,1.7379,5356497
2018-12-21 00:00:00+01:00,2.355,2.361,2.321,2.342,1.7225,8630200
2018-12-24 00:00:00+01:00,2.321,2.338,2.306,2.307,1.6968,1495920
2018-12-27 00:00:00+01:00,2.323,2.354,2.267,2.292,1.6857,5533714
2018-12-28 00:00:00+01:00,2.3,2.351,2.295,2.35,1.7284,3262327
2018-12-31 00:00:00+01:00,2.349,2.361,2.315,2.32,1.7063,1890536
2019-01-02 00:00:00+01:00,2.31,2.319,2.252,2.295,1.6879,4014328
2019-01-03 00:00:00+01:00,2.292,2.318,2.281,2.306,1.696,4965524
2019-01-04 00:00:00+01:00,2.32,2.373,2.312,2.371,1.7438,3943996
2019-01-07 00:00:00+01:00,2.38,2.398,2.364,2.37,1.7431,2918356
2019-01-08 00:00:00+01:00,2.358,2.373,2.333,2.367,1.7409,5603813
2019-01-09 00:00:00+01:00,2.375,2.385,2.345,2.356,1.7328,4030886
2019-01-10 00:00:00+01:00,2.349,2.388,2.343,2.388,1.7563,3490551
2019-01-11 00:00:00+01:00,2.395,2.427,2.392,2.414,1.7755,5826070
2019-01-14 00:00:00+01:00,2.415,2.424,2.387,2.424,1.7828,4275961
2019-01-15 00:00:00+01:00,2.444,2.457,2.423,2.438,1.7931,3213433
2019-01-16 00:00:00+01:00,2.44,2.459,2.44,2.459,1.8086,4107347
2019-01-17 00:00:00+01:00,2.445,2.465,2.432,2.438,1.7931,5713303
2019-01-18 00:00:00+01:00,2.459,2.474,2.448,2.464,1.8122,4355955
2019-01-21 00:00:00+01:00,2.47,2.478,2.455,2.475,1.8203,2832784
2019-01-22 00:00:00+01:00,2.471,2.485,2.44,2.45,1.8019,5058220
2019-01-23 00:00:00+01:00,2.449,2.48,2.438,2.473,1.8189,3855194
2019-01-24 00:00:00+01:00,2.48,2.506,2.472,2.501,1.8394,4910669
2019-01-25 00:00:00+01:00,2.515,2.52,2.489,2.489,1.8306,3221508
2019-01-28 00:00:00+01:00,2.486,2.492,2.467,2.479,1.8233,2850329
2019-01-29 00:00:00+01:00,2.47,2.494,2.464,2.479,1.8233,3008698
2019-01-30 00:00:00+01:00,2.477,2.481,2.461,2.481,1.8247,2153610
2019-01-31 00:00:00+01:00,2.482,2.489,2.421,2.428,1.7858,4759468
2019-02-01 00:00:00+01:00,2.439,2.473,2.432,2.467,1.8144,3366479
2019-02-04 00:00:00+01:00,2.467,2.477,2.445,2.461,1.81,4259158
2019-02-05 00:00:00+01:00,2.469,2.483,2.453,2.477,1.8218,3741932
2019-02-06 00:00:00+01:00,2.479,2.487,2.47,2.474,1.8196,3114282
2019-02-07 00:00:00+01:00,2.471,2.477,2.38,2.4,1.7652,5442750
2019-02-08 00:00:00+01:00,2.4,2.415,2.385,2.404,1.7681,4725683
2019-02-11 00:00:00+01:00,2.37,2.404,2.36,2.384,1.7534,4513957
2019-02-12 00:00:00+01:00,2.396,2.406,2.384,2.389,1.7571,2663733
2019-02-13 00:00:00+01:00,2.389,2.425,2.389,2.425,1.7836,4890069
2019-02-14 00:00:00+01:00,2.425,2.449,2.408,2.409,1.7718,4656022
2019-02-15 00:00:00+01:00,2.41,2.471,2.39,2.45,1.8019,4039219
2019-02-18 00:00:00+01:00,2.46,2.464,2.435,2.438,1.7931,2524968
2019-02-19 00:00:00+01:00,2.441,2.456,2.43,2.456,1.8063,4115246
2019-02-20 00:00:00+01:00,2.457,2.483,2.451,2.475,1.8203,2704547
2019-02-21 00:00:00+01:00,2.478,2.49,2.473,2.474,1.8196,2736271
2019-02-22 00:00:00+01:00,2.473,2.49,2.47,2.489,1.8306,2759495
2019-02-25 00:00:00+01:00,2.494,2.5,2.467,2.481,1.8247,3244959
2019-02-26 00:00:00+01:00,2.474,2.49,2.457,2.478,1.8225,3006115
