Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,9.35,9.375,9.115,9.115,8.9217,483953
2018-11-06 00:00:00+01:00,9.12,9.155,9.01,9.11,8.9168,469023
2018-11-07 00:00:00+01:00,9.11,9.205,8.915,8.93,8.7406,732859
2018-11-08 00:00:00+01:00,8.85,9.14,8.04,8.245,8.0702,2761024
2018-11-09 00:00:00+01:00,8.25,8.395,8.155,8.315,8.1387,1025186
2018-11-12 00:00:00+01:00,8.345,8.435,8.25,8.33,8.1534,801538
2018-11-13 00:00:00+01:00,8.35,8.405,8.255,8.35,8.1729,1241337
2018-11-14 00:00:00+01:00,8.375,8.62,8.305,8.505,8.3247,639106
2018-11-15 00:00:00+01:00,8.53,8.54,8.34,8.48,8.3002,532034
2018-11-16 00:00:00+01:00,8.525,8.88,8.49,8.72,8.5351,1274315
2018-11-19 00:00:00+01:00,8.79,8.805,8.655,8.675,8.491,906501
2018-11-20 00:00:00+01:00,8.645,8.655,8.455,8.545,8.3638,782982
2018-11-21 00:00:00+01:00,8.575,8.71,8.415,8.675,8.491,631583
2018-11-22 00:00:00+01:00,8.68,8.85,8.64,8.78,8.5938,752163
2018-11-23 00:00:00+01:00,8.785,8.845,8.715,8.735,8.5498,513927
2018-11-26 00:00:00+01:00,8.78,8.895,8.725,8.755,8.5693,1293930
2018-11-27 00:00:00+01:00,8.75,8.835,8.705,8.795,8.6085,723223
2018-11-28 00:00:00+01:00,8.815,8.885,8.74,8.86,8.6721,420666
2018-11-29 00:00:00+01:00,8.87,9.025,8.86,8.93,8.7406,866763
2018-11-30 00:00:00+01:00,8.95,8.96,8.835,8.835,8.6477,941226
2018-12-03 00:00:00+01:00,8.99,8.99,8.78,8.78,8.5938,646765
2018-12-04 00:00:00+01:00,8.815,8.85,8.53,8.575,8.3932,877496
2018-12-05 00:00:00+01:00,8.55,8.635,8.45,8.515,8.3344,596402
2018-12-06 00:00:00+01:00,8.45,8.47,8.215,8.255,8.08,592678
2018-12-07 00:00:00+01:00,8.315,8.465,8.3,8.36,8.1827,413964
2018-12-10 00:00:00+01:00,8.31,8.34,8.165,8.215,8.0408,642824
2018-12-11 00:00:00+01:00,8.26,8.35,8.145,8.205,8.031,551417
2018-12-12 00:00:00+01:00,8.21,8.375,8.21,8.3,8.124,650272
2018-12-13 00:00:00+01:00,8.305,8.39,8.245,8.245,8.0702,559338
2018-12-14 00:00:00+01:00,8.41,8.445,8.095,8.22,8.0457,595922
2018-12-17 00:00:00+01:00,8.175,8.245,8.07,8.165,7.9919,665424
2018-12-18 00:00:00+01:00,8.145,8.335,8.135,8.15,7.9772,856898
2018-12-19 00:00:00+01:00,8.175,8.44,8.135,8.415,8.2366,846943
2018-12-20 00:00:00+01:00,8.35,8.35,8.085,8.105,7.9331,593228
2018-12-21 00:00:00+01:00,8.14,8.17,8.06,8.125,7.9527,833357
2018-12-24 00:00:00+01:00,8.08,8.12,7.965,8.0,7.8304,182379
2018-12-27 00:00:00+01:00,8.035,8.15,7.84,7.96,7.7912,632733
2018-12-28 00:00:00+01:00,8.0,8.165,7.93,8.15,7.9772,483754
2018-12-31 00:00:00+01:00,8.17,8.22,8.12,8.21,8.0359,200274
2019-01-02 00:00:00+01:00,8.24,8.35,8.055,8.315,8.1387,492643
2019-01-03 00:00:00+01:00,8.31,8.31,8.075,8.075,7.9038,412912
2019-01-04 00:00:00+01:00,8.165,8.395,8.135,8.34,8.1631,480728
2019-01-07 00:00:00+01:00,8.37,8.375,8.225,8.3,8.124,350115
2019-01-08 00:00:00+01:00,8.28,8.61,8.28,8.55,8.3687,592728
2019-01-09 00:00:00+01:00,8.63,8.735,8.57,8.67,8.4862,872213
2019-01-10 00:00:00+01:00,8.65,8.69,8.535,8.64,8.4568,380532
2019-01-11 00:00:00+01:00,8.675,8.69,8.575,8.6,8.4176,513223
2019-01-14 00:00:00+01:00,8.62,8.62,8.475,8.555,8.3736,325720
2019-01-15 00:00:00+01:00,8.635,8.65,8.45,8.575,8.3932,360412
2019-01-16 00:00:00+01:00,8.6,8.67,8.565,8.63,8.447,724138
2019-01-17 00:00:00+01:00,8.635,8.665,8.535,8.56,8.3785,365321
2019-01-18 00:00:00+01:00,8.615,8.815,8.55,8.795,8.6085,771045
2019-01-21 00:00:00+01:00,8.795,8.975,8.78,8.96,8.77,562871
2019-01-22 00:00:00+01:00,8.96,9.04,8.885,8.95,8.7602,916956
2019-01-23 00:00:00+01:00,8.935,9.1,8.89,8.96,8.77,548265
2019-01-24 00:00:00+01:00,9.015,9.08,8.87,8.965,8.7749,793691
2019-01-25 00:00:00+01:00,8.985,9.04,8.92,9.04,8.8483,495471
2019-01-28 00:00:00+01:00,9.025,9.215,8.98,8.99,8.7994,805496
2019-01-29 00:00:00+01:00,8.98,9.03,8.86,8.865,8.677,561303
2019-01-30 00:00:00+01:00,8.855,8.865,8.73,8.77,8.584,1151535
2019-01-31 00:00:00+01:00,8.76,8.835,8.605,8.765,8.5791,519275
2019-02-01 00:00:00+01:00,8.795,8.875,8.73,8.87,8.6819,459382
2019-02-04 00:00:00+01:00,8.87,8.945,8.85,8.85,8.6623,378814
2019-02-05 00:00:00+01:00,8.895,9.07,8.825,9.07,8.8777,536699
2019-02-06 00:00:00+01:00,9.095,9.22,9.05,9.175,8.9804,524397
