Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,16.68,17.04,15.9,16.44,16.1,124805
2018-11-06 00:00:00+01:00,16.48,16.48,15.72,16.03,15.7,69970
2018-11-07 00:00:00+01:00,16.38,16.42,15.96,16.33,15.99,42767
2018-11-08 00:00:00+01:00,16.1,16.56,15.46,16.22,15.89,104894
2018-11-09 00:00:00+01:00,16.33,16.33,15.23,15.3,14.98,62845
2018-11-12 00:00:00+01:00,15.24,15.24,14.35,14.45,14.15,47733
2018-11-13 00:00:00+01:00,14.62,15.29,14.35,14.94,14.63,73874
2018-11-14 00:00:00+01:00,14.66,14.77,12.65,12.65,12.39,138784
2018-11-15 00:00:00+01:00,12.82,13.2,12.18,12.53,12.27,115148
2018-11-16 00:00:00+01:00,12.41,13.12,12.26,12.47,12.21,80076
2018-11-19 00:00:00+01:00,12.43,13.07,12.43,12.89,12.62,62764
2018-11-20 00:00:00+01:00,12.78,12.78,12.13,12.29,12.03,68852
2018-11-21 00:00:00+01:00,12.31,12.59,12.0,12.42,12.16,100400
2018-11-22 00:00:00+01:00,12.52,13.2,12.25,12.62,12.36,77960
2018-11-23 00:00:00+01:00,12.66,12.72,12.38,12.54,12.28,32485
2018-11-26 00:00:00+01:00,12.6,12.96,12.49,12.83,12.56,73776
2018-11-27 00:00:00+01:00,12.96,13.98,12.84,13.79,13.5,121392
2018-11-28 00:00:00+01:00,13.79,14.16,13.44,13.6,13.31,93084
2018-11-29 00:00:00+01:00,13.56,13.78,13.26,13.36,13.08,37757
2018-11-30 00:00:00+01:00,13.44,13.56,12.84,12.91,12.64,432821
2018-12-03 00:00:00+01:00,12.97,13.87,12.84,13.8,13.51,100490
2018-12-04 00:00:00+01:00,13.72,14.45,13.45,14.35,14.05,65993
2018-12-05 00:00:00+01:00,14.33,15.12,14.11,14.84,14.54,60891
2018-12-06 00:00:00+01:00,14.83,14.83,13.8,13.81,13.53,90358
2018-12-07 00:00:00+01:00,13.94,14.23,13.8,13.84,13.55,33016
2018-12-10 00:00:00+01:00,13.33,14.38,13.32,13.8,13.51,65772
2018-12-11 00:00:00+01:00,14.4,16.46,14.4,15.36,15.04,220785
2018-12-12 00:00:00+01:00,15.36,16.43,15.3,16.12,15.78,117680
2018-12-13 00:00:00+01:00,16.44,16.44,15.25,15.38,15.06,52387
2018-12-14 00:00:00+01:00,15.24,15.31,14.9,15.01,14.7,39301
2018-12-17 00:00:00+01:00,15.04,15.4,14.7,14.83,14.52,35532
2018-12-18 00:00:00+01:00,14.54,14.71,14.28,14.48,14.18,52222
2018-12-19 00:00:00+01:00,14.32,14.5,13.8,13.81,13.53,47764
2018-12-20 00:00:00+01:00,13.78,14.02,13.61,13.92,13.63,45602
2018-12-21 00:00:00+01:00,13.86,14.17,13.67,14.0,13.71,72880
2018-12-24 00:00:00+01:00,13.86,14.28,13.86,14.04,13.75,16246
2018-12-27 00:00:00+01:00,13.91,14.23,13.56,13.86,13.57,97664
2018-12-28 00:00:00+01:00,13.62,14.15,13.06,13.08,12.81,83965
2018-12-31 00:00:00+01:00,13.0,13.14,12.84,13.08,12.81,75363
2019-01-02 00:00:00+01:00,13.28,14.58,12.94,14.4,14.1,95998
2019-01-03 00:00:00+01:00,14.4,14.83,14.11,14.59,14.29,63736
2019-01-04 00:00:00+01:00,14.63,15.94,14.63,15.6,15.28,95278
2019-01-07 00:00:00+01:00,15.84,17.23,15.84,17.23,16.87,127017
2019-01-08 00:00:00+01:00,17.4,18.12,16.63,16.87,16.52,185914
2019-01-09 00:00:00+01:00,16.99,17.38,16.68,16.99,16.64,44171
2019-01-10 00:00:00+01:00,16.98,17.15,16.79,16.81,16.46,16618
2019-01-11 00:00:00+01:00,16.81,17.09,16.69,16.91,16.56,23575
2019-01-14 00:00:00+01:00,16.92,17.02,16.26,16.26,15.92,44721
2019-01-15 00:00:00+01:00,15.95,16.7,15.48,16.2,15.86,149344
2019-01-16 00:00:00+01:00,16.14,16.46,15.74,15.77,15.44,59622
2019-01-17 00:00:00+01:00,15.74,15.86,15.16,15.24,14.92,69502
2019-01-18 00:00:00+01:00,15.58,16.08,15.26,15.26,14.95,66551
2019-01-21 00:00:00+01:00,15.24,16.06,14.86,15.71,15.38,99388
2019-01-22 00:00:00+01:00,15.48,15.68,15.2,15.2,14.89,108911
2019-01-23 00:00:00+01:00,15.37,15.83,14.95,15.61,15.29,87319
2019-01-24 00:00:00+01:00,16.45,17.5,16.28,16.32,15.98,252617
2019-01-25 00:00:00+01:00,16.48,17.02,15.92,15.92,15.59,127592
2019-01-28 00:00:00+01:00,16.02,16.43,15.85,15.97,15.64,76104
2019-01-29 00:00:00+01:00,15.9,16.73,15.74,16.21,15.88,118726
2019-01-30 00:00:00+01:00,16.09,16.25,15.5,15.68,15.36,103615
2019-01-31 00:00:00+01:00,15.95,16.25,15.26,15.52,15.19,117416
2019-02-01 00:00:00+01:00,15.53,15.53,14.68,14.78,14.48,93265
2019-02-04 00:00:00+01:00,14.99,15.02,14.64,14.84,14.54,62593
2019-02-05 00:00:00+01:00,15.06,16.68,15.06,16.22,15.89,167197
2019-02-06 00:00:00+01:00,16.55,17.0,15.88,16.49,16.15,156155
2019-02-07 00:00:00+01:00,16.46,16.68,15.85,15.85,15.52,62221
2019-02-08 00:00:00+01:00,15.85,15.85,15.36,15.48,15.16,51217
2019-02-11 00:00:00+01:00,15.61,15.92,15.5,15.9,15.57,35116
2019-02-12 00:00:00+01:00,16.08,16.2,15.6,15.76,15.43,41785
2019-02-13 00:00:00+01:00,15.78,15.84,15.44,15.47,15.15,21106
2019-02-14 00:00:00+01:00,15.66,15.77,15.41,15.49,15.17,22330
2019-02-15 00:00:00+01:00,15.59,16.48,15.48,16.26,15.92,55727
2019-02-18 00:00:00+01:00,16.32,17.98,16.32,17.68,17.31,311534
2019-02-19 00:00:00+01:00,17.64,18.24,17.17,17.63,17.26,148753
2019-02-20 00:00:00+01:00,17.78,18.0,16.92,17.86,17.49,77744
2019-02-21 00:00:00+01:00,17.94,17.94,17.4,17.42,17.06,45009
2019-02-22 00:00:00+01:00,17.56,18.35,17.46,17.82,17.45,107075
2019-02-25 00:00:00+01:00,17.88,18.08,17.56,17.57,17.2,56430
2019-02-26 00:00:00+01:00,17.53,18.29,17.16,18.18,17.8,85886
2019-02-27 00:00:00+01:00,18.23,18.23,17.58,17.59,17.23,44332
2019-02-28 00:00:00+01:00,17.64,17.77,17.42,17.54,17.18,29377
2019-03-01 00:00:00+01:00,17.52,17.95,17.41,17.94,17.57,66435
2019-03-04 00:00:00+01:00,17.98,19.0,17.98,18.5,18.12,157286
2019-03-05 00:00:00+01:00,18.47,18.67,18.01,18.48,18.1,48904
2019-03-06 00:00:00+01:00,18.44,18.5,18.08,18.2,17.83,34731
2019-03-07 00:00:00+01:00,18.19,18.19,16.8,17.04,16.69,178703
2019-03-08 00:00:00+01:00,16.86,16.99,16.21,16.81,16.46,93702
2019-03-11 00:00:00+01:00,16.8,17.26,16.69,16.87,16.52,44780
2019-03-12 00:00:00+01:00,17.04,17.26,16.8,17.06,16.71,33441
2019-03-13 00:00:00+01:00,17.04,17.44,16.96,17.04,16.69,35636
2019-03-14 00:00:00+01:00,17.04,17.42,16.98,17.04,16.69,39244
2019-03-15 00:00:00+01:00,17.16,17.64,16.98,17.4,17.04,62489
2019-03-18 00:00:00+01:00,17.56,17.64,17.09,17.11,16.76,31840
2019-03-19 00:00:00+01:00,17.08,17.56,17.08,17.42,17.06,18382
2019-03-20 00:00:00+01:00,17.39,18.04,17.18,17.53,17.17,73007
2019-03-21 00:00:00+01:00,17.51,17.54,16.99,17.26,16.9,46546
2019-03-22 00:00:00+01:00,17.45,17.45,16.88,17.04,16.69,36637
2019-03-25 00:00:00+01:00,17.35,18.48,17.35,17.66,17.3,107557
2019-03-26 00:00:00+01:00,17.68,17.98,17.28,17.84,17.47,54852
2019-03-27 00:00:00+01:00,17.88,18.36,17.53,17.71,17.34,74061
2019-03-28 00:00:00+01:00,17.59,17.84,17.42,17.54,17.18,38489
2019-03-29 00:00:00+01:00,17.47,17.77,17.42,17.7,17.33,21394
2019-04-01 00:00:00+02:00,17.76,18.36,17.7,18.0,17.63,107199
2019-04-02 00:00:00+02:00,18.17,18.74,17.76,18.54,18.16,100093
2019-04-03 00:00:00+02:00,18.6,19.68,18.59,19.62,19.21,256494
2019-04-04 00:00:00+02:00,19.8,19.8,18.88,19.28,18.88,93966
2019-04-05 00:00:00+02:00,19.34,19.92,19.02,19.57,19.17,92399
2019-04-08 00:00:00+02:00,19.45,19.91,19.08,19.84,19.42,67390
2019-04-09 00:00:00+02:00,19.69,21.17,19.49,20.78,20.35,249911
2019-04-10 00:00:00+02:00,21.06,22.54,20.94,22.54,22.07,323972
2019-04-11 00:00:00+02:00,22.79,23.27,21.02,21.32,20.88,373170
2019-04-12 00:00:00+02:00,21.19,22.1,20.78,21.72,21.27,155772
2019-04-15 00:00:00+02:00,21.61,22.43,21.26,22.18,21.72,156263
2019-04-16 00:00:00+02:00,22.03,22.72,22.03,22.42,21.95,131455
2019-04-17 00:00:00+02:00,22.21,22.58,21.67,22.08,21.62,88321
2019-04-18 00:00:00+02:00,21.84,22.26,21.71,22.13,21.67,39750
2019-04-23 00:00:00+02:00,22.43,23.74,22.03,23.54,23.06,195333
2019-04-24 00:00:00+02:00,23.62,24.53,23.28,23.7,23.21,252637
2019-04-25 00:00:00+02:00,23.82,23.92,23.28,23.64,23.15,95927
2019-04-26 00:00:00+02:00,23.64,24.82,22.31,24.19,23.69,210998
2019-04-29 00:00:00+02:00,22.8,24.94,22.22,24.94,24.42,179558
2019-04-30 00:00:00+02:00,25.2,25.68,24.6,25.3,24.77,146183
2019-05-02 00:00:00+02:00,25.37,25.44,24.26,24.5,24.0,113676
2019-05-03 00:00:00+02:00,24.53,25.61,24.34,25.2,24.68,86911
2019-05-06 00:00:00+02:00,24.55,25.08,23.77,24.77,24.25,88899
2019-05-07 00:00:00+02:00,24.84,24.96,23.8,24.17,23.67,62518
2019-05-08 00:00:00+02:00,24.29,24.84,23.87,24.84,24.32,66379
2019-05-09 00:00:00+02:00,24.89,24.89,23.45,23.62,23.13,94223
2019-05-10 00:00:00+02:00,24.02,25.2,23.87,24.46,23.95,113118
2019-05-13 00:00:00+02:00,24.26,24.65,23.24,23.3,22.82,100495
2019-05-14 00:00:00+02:00,23.4,24.65,23.4,24.48,23.97,110342
2019-05-15 00:00:00+02:00,24.84,24.96,23.94,24.72,24.21,53398
2019-05-16 00:00:00+02:00,24.96,26.59,24.74,26.4,25.85,298735
2019-05-17 00:00:00+02:00,26.4,26.47,25.54,26.04,25.5,111178
2019-05-20 00:00:00+02:00,26.4,26.4,25.3,25.78,25.24,69707
2019-05-21 00:00:00+02:00,25.8,26.4,25.46,26.28,25.73,71201
2019-05-22 00:00:00+02:00,26.38,26.81,26.11,26.3,25.76,111450
2019-05-23 00:00:00+02:00,26.4,26.5,25.56,25.61,25.08,96390
2019-05-24 00:00:00+02:00,25.8,26.35,25.63,25.8,25.26,77062
2019-05-27 00:00:00+02:00,25.82,26.81,25.82,26.76,26.2,115271
2019-05-28 00:00:00+02:00,26.54,28.06,26.47,27.89,27.31,409049
2019-05-29 00:00:00+02:00,27.86,27.94,26.76,27.24,26.67,138278
2019-05-30 00:00:00+02:00,27.17,29.04,27.17,28.54,27.94,194923
2019-05-31 00:00:00+02:00,28.8,28.99,28.08,28.85,28.25,146965
2019-06-03 00:00:00+02:00,28.94,28.94,23.06,26.02,25.48,495807
2019-06-04 00:00:00+02:00,25.68,27.6,24.72,25.68,25.15,193883
2019-06-05 00:00:00+02:00,26.09,26.3,25.34,25.66,25.12,120165
2019-06-06 00:00:00+02:00,25.46,26.35,24.82,25.51,24.98,133044
2019-06-07 00:00:00+02:00,25.8,25.97,25.25,25.42,24.89,65074
2019-06-10 00:00:00+02:00,25.46,25.92,24.48,24.82,24.3,89708
2019-06-11 00:00:00+02:00,24.6,25.34,24.41,24.84,24.32,90208
2019-06-12 00:00:00+02:00,25.13,25.46,24.7,25.25,24.72,53734
2019-06-13 00:00:00+02:00,25.22,25.54,24.72,24.91,24.39,49450
2019-06-14 00:00:00+02:00,25.2,25.2,24.65,24.72,24.21,36732
2019-06-17 00:00:00+02:00,24.84,24.96,24.43,24.79,24.28,44757
2019-06-18 00:00:00+02:00,24.6,24.89,23.83,24.58,24.07,79038
2019-06-19 00:00:00+02:00,24.77,25.08,22.81,22.92,22.44,152931
2019-06-20 00:00:00+02:00,22.58,23.64,21.84,22.85,22.37,180908
2019-06-21 00:00:00+02:00,22.7,23.2,22.44,22.56,22.09,74787
2019-06-24 00:00:00+02:00,22.2,22.8,21.61,21.72,21.27,102292
