Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,7.354,7.47,7.354,7.427,5.3497,19407897
2018-11-06 00:00:00+01:00,7.421,7.424,7.274,7.338,5.2856,14183334
2018-11-07 00:00:00+01:00,7.417,7.476,7.403,7.442,5.3605,13853427
2018-11-08 00:00:00+01:00,7.447,7.536,7.444,7.512,5.4109,11806819
2018-11-09 00:00:00+01:00,7.505,7.519,7.449,7.469,5.38,39181119
2018-11-12 00:00:00+01:00,7.49,7.509,7.426,7.429,5.3511,13706370
2018-11-13 00:00:00+01:00,7.468,7.534,7.46,7.514,5.4124,14676346
2018-11-14 00:00:00+01:00,7.47,7.566,7.443,7.495,5.3987,11642996
2018-11-15 00:00:00+01:00,7.522,7.607,7.444,7.5,5.4023,16417066
2018-11-16 00:00:00+01:00,7.529,7.549,7.445,7.497,5.4001,20245536
2018-11-19 00:00:00+01:00,7.507,7.574,7.467,7.467,5.3785,12244313
2018-11-20 00:00:00+01:00,7.455,7.46,7.301,7.327,5.2777,18956960
2018-11-21 00:00:00+01:00,7.36,7.494,7.33,7.404,5.3331,47680222
2018-11-22 00:00:00+01:00,7.4,7.401,7.291,7.291,5.2517,10621887
2018-11-23 00:00:00+01:00,7.299,7.359,7.278,7.334,5.2827,8024133
2018-11-26 00:00:00+01:00,7.407,7.707,7.407,7.655,5.5139,25899019
2018-11-27 00:00:00+01:00,7.662,7.773,7.644,7.698,5.5449,18454962
2018-11-28 00:00:00+01:00,7.75,7.84,7.735,7.778,5.6025,47283627
2018-11-29 00:00:00+01:00,7.849,7.917,7.785,7.804,5.6213,34122774
2018-11-30 00:00:00+01:00,7.831,7.942,7.819,7.928,5.7106,46685034
2018-12-03 00:00:00+01:00,8.045,8.059,7.946,7.959,5.7329,25560002
2018-12-04 00:00:00+01:00,7.92,7.964,7.878,7.886,5.6803,53400159
2018-12-05 00:00:00+01:00,7.79,7.897,7.75,7.857,5.6594,126687249
2018-12-06 00:00:00+01:00,7.8,7.815,7.563,7.603,5.4765,85933575
2018-12-07 00:00:00+01:00,7.629,7.767,7.618,7.68,5.5319,38865810
2018-12-10 00:00:00+01:00,7.641,7.686,7.52,7.567,5.4505,13553791
2018-12-11 00:00:00+01:00,7.609,7.749,7.566,7.624,5.4916,114456299
2018-12-12 00:00:00+01:00,7.643,7.797,7.632,7.743,5.5773,40858832
2018-12-13 00:00:00+01:00,7.85,7.93,7.813,7.83,5.64,25119704
2018-12-14 00:00:00+01:00,7.77,7.829,7.703,7.791,5.6119,17760431
2018-12-17 00:00:00+01:00,7.8,7.915,7.774,7.827,5.6378,50628184
2018-12-18 00:00:00+01:00,7.679,7.679,7.471,7.472,5.5232,146348469
2018-12-19 00:00:00+01:00,7.491,7.631,7.49,7.6,5.6179,182779456
2018-12-20 00:00:00+01:00,7.5,7.58,7.458,7.503,5.5462,128429569
2018-12-21 00:00:00+01:00,7.482,7.513,7.374,7.491,5.5373,120788127
2018-12-24 00:00:00+01:00,7.406,7.44,7.361,7.385,5.4589,12554673
2018-12-27 00:00:00+01:00,7.363,7.4,7.222,7.31,5.4035,22695321
2018-12-28 00:00:00+01:00,7.309,7.415,7.292,7.378,5.4538,16885666
2018-12-31 00:00:00+01:00,7.374,7.429,7.335,7.339,5.4249,5356504
2019-01-02 00:00:00+01:00,7.299,7.42,7.227,7.406,5.4745,15238949
2019-01-03 00:00:00+01:00,7.376,7.573,7.36,7.529,5.5654,20327613
2019-01-04 00:00:00+01:00,7.564,7.699,7.526,7.627,5.6378,13064758
2019-01-07 00:00:00+01:00,7.66,7.706,7.613,7.696,5.6888,14858461
2019-01-08 00:00:00+01:00,7.712,7.75,7.628,7.684,5.68,17351760
2019-01-09 00:00:00+01:00,7.728,7.752,7.527,7.527,5.5639,24145419
2019-01-10 00:00:00+01:00,7.525,7.661,7.511,7.661,5.663,11810127
2019-01-11 00:00:00+01:00,7.648,7.695,7.64,7.67,5.6696,9896206
2019-01-14 00:00:00+01:00,7.627,7.651,7.559,7.625,5.6363,11993724
2019-01-15 00:00:00+01:00,7.68,7.697,7.524,7.593,5.6127,13776340
2019-01-16 00:00:00+01:00,7.631,7.653,7.554,7.618,5.6312,15693025
2019-01-17 00:00:00+01:00,7.582,7.634,7.538,7.567,5.5935,12425561
2019-01-18 00:00:00+01:00,7.617,7.716,7.581,7.687,5.6822,19301656
2019-01-21 00:00:00+01:00,7.669,7.704,7.606,7.704,5.6947,10310137
2019-01-22 00:00:00+01:00,7.7,7.746,7.642,7.689,5.6837,19639538
2019-01-23 00:00:00+01:00,7.689,7.798,7.645,7.728,5.7125,14393362
2019-01-24 00:00:00+01:00,7.736,7.791,7.657,7.732,5.7154,12052559
2019-01-25 00:00:00+01:00,7.779,7.783,7.688,7.714,5.7021,10112833
2019-01-28 00:00:00+01:00,7.701,7.753,7.651,7.682,5.6785,8527719
2019-01-29 00:00:00+01:00,7.696,7.72,7.628,7.63,5.64,12234864
2019-01-30 00:00:00+01:00,7.618,7.636,7.506,7.582,5.6046,15340218
2019-01-31 00:00:00+01:00,7.594,7.63,7.446,7.495,5.5403,21542637
2019-02-01 00:00:00+01:00,7.512,7.558,7.45,7.526,5.5632,17502790
2019-02-04 00:00:00+01:00,7.535,7.572,7.405,7.46,5.5144,12935418
2019-02-05 00:00:00+01:00,7.464,7.609,7.435,7.609,5.6245,15434643
2019-02-06 00:00:00+01:00,7.592,7.65,7.56,7.614,5.6282,9295366
2019-02-07 00:00:00+01:00,7.58,7.603,7.437,7.438,5.4981,12836190
2019-02-08 00:00:00+01:00,7.399,7.418,7.236,7.307,5.4013,16865762
2019-02-11 00:00:00+01:00,7.335,7.414,7.32,7.349,5.4323,9624277
2019-02-12 00:00:00+01:00,7.427,7.44,7.333,7.352,5.4345,11375454
2019-02-13 00:00:00+01:00,7.346,7.379,7.3,7.366,5.4449,8232791
2019-02-14 00:00:00+01:00,7.417,7.424,7.305,7.315,5.4072,10247726
2019-02-15 00:00:00+01:00,7.322,7.512,7.303,7.5,5.5439,16624584
2019-02-18 00:00:00+01:00,7.516,7.597,7.504,7.562,5.5898,8689789
2019-02-19 00:00:00+01:00,7.578,7.635,7.523,7.6,5.6179,12851245
2019-02-20 00:00:00+01:00,7.593,7.683,7.575,7.68,5.677,11084784
2019-02-21 00:00:00+01:00,7.78,7.83,7.71,7.773,5.7457,29596987
2019-02-22 00:00:00+01:00,7.796,7.838,7.686,7.768,5.7421,15121380
2019-02-25 00:00:00+01:00,7.77,7.828,7.705,7.705,5.6955,14375870
2019-02-26 00:00:00+01:00,7.674,7.675,7.542,7.6,5.6179,12312740
2019-02-27 00:00:00+01:00,7.592,7.6,7.511,7.538,5.572,12155927
2019-02-28 00:00:00+01:00,7.49,7.595,7.471,7.589,5.6097,14585964
2019-03-01 00:00:00+01:00,7.602,7.617,7.479,7.479,5.5284,16390702
2019-03-04 00:00:00+01:00,7.521,7.538,7.41,7.424,5.4878,10103932
2019-03-05 00:00:00+01:00,7.429,7.556,7.428,7.49,5.5366,13023317
2019-03-06 00:00:00+01:00,7.486,7.55,7.483,7.527,5.5639,15620096
2019-03-07 00:00:00+01:00,7.55,7.677,7.539,7.556,5.5853,17988714
2019-03-08 00:00:00+01:00,7.525,7.617,7.514,7.576,5.6001,12366404
2019-03-11 00:00:00+01:00,7.619,7.642,7.572,7.636,5.6445,8835501
2019-03-12 00:00:00+01:00,7.62,7.64,7.53,7.57,5.5957,11504434
2019-03-13 00:00:00+01:00,7.57,7.619,7.55,7.594,5.6134,10539993
2019-03-14 00:00:00+01:00,7.6,7.709,7.582,7.609,5.6245,14884001
2019-03-15 00:00:00+01:00,7.613,7.825,7.603,7.811,5.7738,44177685
2019-03-18 00:00:00+01:00,7.815,7.875,7.797,7.825,5.7842,11331153
2019-03-19 00:00:00+01:00,7.85,7.9,7.81,7.833,5.7901,10843916
2019-03-20 00:00:00+01:00,7.815,7.87,7.723,7.723,5.7088,10995264
2019-03-21 00:00:00+01:00,7.727,7.782,7.701,7.737,5.7191,11125810
2019-03-22 00:00:00+01:00,7.769,7.785,7.6,7.6,5.6179,16012808
2019-03-25 00:00:00+01:00,7.591,7.643,7.531,7.544,5.5765,13957224
2019-03-26 00:00:00+01:00,7.558,7.595,7.495,7.574,5.5986,8911496
2019-03-27 00:00:00+01:00,7.607,7.639,7.519,7.59,5.6105,10728467
2019-03-28 00:00:00+01:00,7.59,7.61,7.392,7.392,5.4641,13867000
2019-03-29 00:00:00+01:00,7.411,7.469,7.33,7.469,5.521,12921924
2019-04-01 00:00:00+02:00,7.478,7.53,7.435,7.511,5.5521,11122856
2019-04-02 00:00:00+02:00,7.489,7.52,7.42,7.485,5.5329,14326480
2019-04-03 00:00:00+02:00,7.554,7.565,7.491,7.553,5.5831,16394143
2019-04-04 00:00:00+02:00,7.556,7.635,7.534,7.62,5.6326,14845406
2019-04-05 00:00:00+02:00,7.64,7.65,7.471,7.508,5.5499,14249518
2019-04-08 00:00:00+02:00,7.49,7.502,7.39,7.42,5.4848,18092531
2019-04-09 00:00:00+02:00,7.421,7.456,7.382,7.388,5.4612,12689836
2019-04-10 00:00:00+02:00,7.384,7.437,7.376,7.394,5.4656,9435471
2019-04-11 00:00:00+02:00,7.42,7.437,7.363,7.436,5.4966,9182072
2019-04-12 00:00:00+02:00,7.43,7.502,7.387,7.432,5.4937,16043829
2019-04-15 00:00:00+02:00,7.45,7.496,7.444,7.467,5.5196,10439903
2019-04-16 00:00:00+02:00,7.45,7.489,7.404,7.404,5.473,9929837
2019-04-17 00:00:00+02:00,7.44,7.53,7.391,7.5,5.5439,10635266
2019-04-18 00:00:00+02:00,7.485,7.536,7.442,7.508,5.5499,13090742
2019-04-23 00:00:00+02:00,7.497,7.508,7.415,7.432,5.4937,9608547
2019-04-24 00:00:00+02:00,7.4,7.424,7.31,7.343,5.4279,11761310
2019-04-25 00:00:00+02:00,7.325,7.388,7.301,7.384,5.4582,11171229
2019-04-26 00:00:00+02:00,7.4,7.486,7.351,7.463,5.5166,13130436
2019-04-29 00:00:00+02:00,7.45,7.51,7.411,7.51,5.5513,6932807
2019-04-30 00:00:00+02:00,7.423,7.441,7.341,7.432,5.4937,14079756
2019-05-02 00:00:00+02:00,7.38,7.452,7.297,7.321,5.4116,14238038
2019-05-03 00:00:00+02:00,7.331,7.353,7.26,7.293,5.3909,18045685
2019-05-06 00:00:00+02:00,7.229,7.303,7.21,7.288,5.3872,8390507
2019-05-07 00:00:00+02:00,7.313,7.347,7.19,7.221,5.3377,14084149
2019-05-08 00:00:00+02:00,7.22,7.27,7.164,7.18,5.3074,19191801
2019-05-09 00:00:00+02:00,7.15,7.177,7.093,7.119,5.2623,26289257
2019-05-10 00:00:00+02:00,7.148,7.229,7.0,7.107,5.2534,16638748
2019-05-13 00:00:00+02:00,7.12,7.12,6.975,7.024,5.1921,15413391
2019-05-14 00:00:00+02:00,7.06,7.122,7.037,7.111,5.2564,13752886
2019-05-15 00:00:00+02:00,7.13,7.158,7.042,7.15,5.2852,14790574
2019-05-16 00:00:00+02:00,7.15,7.222,7.12,7.217,5.3348,13266761
2019-05-17 00:00:00+02:00,7.19,7.233,7.134,7.176,5.3044,21933648
2019-05-20 00:00:00+02:00,7.177,7.244,7.142,7.177,5.3052,13401896
2019-05-21 00:00:00+02:00,7.185,7.252,7.151,7.202,5.3237,10975695
2019-05-22 00:00:00+02:00,7.166,7.253,7.159,7.228,5.3429,12419783
2019-05-23 00:00:00+02:00,7.165,7.227,7.152,7.184,5.3104,12406710
2019-05-24 00:00:00+02:00,7.203,7.256,7.185,7.204,5.3251,9913249
2019-05-27 00:00:00+02:00,7.223,7.286,7.223,7.243,5.354,3951931
2019-05-28 00:00:00+02:00,7.236,7.252,7.175,7.252,5.3606,15748880
2019-05-29 00:00:00+02:00,7.185,7.203,7.131,7.19,5.3148,8802835
2019-05-30 00:00:00+02:00,7.213,7.258,7.188,7.216,5.334,7174731
2019-05-31 00:00:00+02:00,7.15,7.213,7.14,7.178,5.3059,11012072
2019-06-03 00:00:00+02:00,7.133,7.195,7.095,7.195,5.3185,23366652
2019-06-04 00:00:00+02:00,7.182,7.365,7.169,7.317,5.4087,132475752
2019-06-05 00:00:00+02:00,7.363,7.41,7.326,7.394,5.4656,113994514
2019-06-06 00:00:00+02:00,7.407,7.457,7.383,7.398,5.4685,103333501
2019-06-07 00:00:00+02:00,7.407,7.472,7.359,7.47,5.5218,35942966
2019-06-10 00:00:00+02:00,7.49,7.493,7.448,7.459,5.5136,49069796
2019-06-11 00:00:00+02:00,7.455,7.543,7.445,7.527,5.5639,24534445
2019-06-12 00:00:00+02:00,7.497,7.592,7.495,7.591,5.6112,17210183
2019-06-13 00:00:00+02:00,7.537,7.59,7.475,7.489,5.5358,28743843
2019-06-14 00:00:00+02:00,7.499,7.5,7.418,7.444,5.5026,13705003
2019-06-17 00:00:00+02:00,7.47,7.493,7.384,7.384,5.4582,36693267
2019-06-18 00:00:00+02:00,7.22,7.383,7.2,7.362,5.5934,111057700
2019-06-19 00:00:00+02:00,7.381,7.401,7.301,7.358,5.5904,86148071
2019-06-20 00:00:00+02:00,7.386,7.412,7.26,7.323,5.5638,134106223
2019-06-21 00:00:00+02:00,7.33,7.371,7.252,7.264,5.519,67651195
2019-06-24 00:00:00+02:00,7.291,7.322,7.23,7.258,5.5144,62692767
2019-06-25 00:00:00+02:00,7.229,7.308,7.206,7.278,5.5296,23101709
2019-06-26 00:00:00+02:00,7.277,7.32,7.249,7.297,5.5441,12704265
2019-06-27 00:00:00+02:00,7.312,7.314,7.205,7.214,5.481,9828611
2019-06-28 00:00:00+02:00,7.219,7.254,7.15,7.221,5.4863,16953815
2019-07-01 00:00:00+02:00,7.28,7.29,7.212,7.273,5.5258,10515899
2019-07-02 00:00:00+02:00,7.28,7.308,7.247,7.308,5.5524,10827284
2019-07-03 00:00:00+02:00,7.308,7.357,7.307,7.32,5.5615,11651393
2019-07-04 00:00:00+02:00,7.337,7.428,7.334,7.428,5.6436,9829491
2019-07-05 00:00:00+02:00,7.438,7.482,7.39,7.394,5.6178,13857914
2019-07-08 00:00:00+02:00,7.39,7.444,7.38,7.386,5.6117,10036228
2019-07-09 00:00:00+02:00,7.398,7.452,7.392,7.452,5.6618,24276563
2019-07-10 00:00:00+02:00,7.401,7.454,7.39,7.396,5.6193,17620971
2019-07-11 00:00:00+02:00,7.412,7.465,7.404,7.44,5.6527,7372481
2019-07-12 00:00:00+02:00,7.44,7.461,7.383,7.393,5.617,12200993
2019-07-15 00:00:00+02:00,7.4,7.434,7.343,7.38,5.6071,26218461
2019-07-16 00:00:00+02:00,7.374,7.445,7.345,7.419,5.6367,15109150
2019-07-17 00:00:00+02:00,7.404,7.407,7.312,7.312,5.5555,9695054
2019-07-18 00:00:00+02:00,7.3,7.347,7.272,7.284,5.5342,9656568
2019-07-19 00:00:00+02:00,7.291,7.36,7.214,7.244,5.5038,11612208
