Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,10.38,10.54,10.28,10.54,9.74,19831
2018-11-06 00:00:00+01:00,10.54,10.66,10.52,10.66,9.85,22113
2018-11-07 00:00:00+01:00,10.8,10.8,10.1,10.5,9.7,131125
2018-11-08 00:00:00+01:00,10.44,10.68,10.44,10.66,9.85,56996
2018-11-09 00:00:00+01:00,10.64,11.24,10.32,11.04,10.2,97172
2018-11-12 00:00:00+01:00,11.36,11.52,11.3,11.4,10.54,79731
2018-11-13 00:00:00+01:00,11.14,11.68,11.14,11.52,10.65,37269
2018-11-14 00:00:00+01:00,11.88,11.88,11.36,11.52,10.65,38414
2018-11-15 00:00:00+01:00,11.56,11.88,11.56,11.88,10.98,25248
2018-11-16 00:00:00+01:00,11.98,11.98,11.4,11.6,10.72,117747
2018-11-19 00:00:00+01:00,11.6,11.92,11.5,11.92,11.02,93737
2018-11-20 00:00:00+01:00,11.64,11.74,11.2,11.24,10.39,286647
2018-11-21 00:00:00+01:00,11.24,11.5,10.98,11.1,10.26,87504
2018-11-22 00:00:00+01:00,11.1,11.2,11.0,11.1,10.26,53616
2018-11-23 00:00:00+01:00,10.92,11.22,10.92,11.14,10.3,80915
2018-11-26 00:00:00+01:00,11.14,11.54,11.14,11.4,10.54,145569
2018-11-27 00:00:00+01:00,11.4,11.46,11.34,11.4,10.54,35494
2018-11-28 00:00:00+01:00,11.36,11.7,11.34,11.6,10.72,25242
2018-11-29 00:00:00+01:00,11.54,11.9,11.54,11.64,10.76,76863
2018-11-30 00:00:00+01:00,11.5,11.62,10.8,10.98,10.15,175753
2018-12-03 00:00:00+01:00,10.82,11.38,10.82,11.14,10.3,131471
2018-12-04 00:00:00+01:00,11.2,11.48,11.1,11.48,10.61,24563
2018-12-05 00:00:00+01:00,11.2,11.36,11.2,11.36,10.5,64762
2018-12-06 00:00:00+01:00,11.12,11.16,10.7,11.02,10.19,54886
2018-12-07 00:00:00+01:00,10.9,11.42,10.9,11.34,10.48,46958
2018-12-10 00:00:00+01:00,11.2,11.38,10.36,10.4,9.61,74137
2018-12-11 00:00:00+01:00,10.62,10.98,10.4,10.62,9.82,57710
2018-12-12 00:00:00+01:00,10.6,11.32,10.6,10.68,9.87,77880
2018-12-13 00:00:00+01:00,10.68,10.78,10.64,10.78,9.96,130361
2018-12-14 00:00:00+01:00,10.7,10.74,10.12,10.28,9.5,92364
2018-12-17 00:00:00+01:00,10.48,10.48,10.12,10.16,9.39,52142
2018-12-18 00:00:00+01:00,10.16,10.48,10.0,10.3,9.52,137566
2018-12-19 00:00:00+01:00,10.26,10.4,10.1,10.1,9.33,114847
2018-12-20 00:00:00+01:00,10.1,10.1,9.55,9.55,8.83,157559
2018-12-21 00:00:00+01:00,9.55,9.74,9.38,9.58,8.85,979530
2018-12-24 00:00:00+01:00,9.64,9.64,9.5,9.51,8.79,42372
2018-12-27 00:00:00+01:00,9.51,9.65,9.35,9.35,8.64,142827
2018-12-28 00:00:00+01:00,9.38,9.56,9.38,9.5,8.78,331349
2018-12-31 00:00:00+01:00,9.58,9.79,9.46,9.79,9.05,114493
2019-01-02 00:00:00+01:00,9.47,9.74,9.47,9.6,8.87,216406
2019-01-03 00:00:00+01:00,9.69,9.69,9.35,9.46,8.74,58377
2019-01-04 00:00:00+01:00,9.35,9.62,9.35,9.4,8.69,60402
2019-01-07 00:00:00+01:00,9.47,9.47,9.41,9.47,8.75,149014
2019-01-08 00:00:00+01:00,9.49,9.5,9.38,9.45,8.73,152146
2019-01-09 00:00:00+01:00,9.33,9.53,9.33,9.43,8.72,168892
2019-01-10 00:00:00+01:00,9.48,9.5,9.35,9.38,8.67,57927
2019-01-11 00:00:00+01:00,9.34,9.45,9.2,9.23,8.53,46771
2019-01-14 00:00:00+01:00,9.39,9.39,8.9,9.0,8.32,71436
2019-01-15 00:00:00+01:00,8.95,9.22,8.95,9.12,8.43,48726
2019-01-16 00:00:00+01:00,9.2,9.5,9.08,9.4,8.69,158419
2019-01-17 00:00:00+01:00,9.36,9.41,9.2,9.2,8.5,88344
2019-01-18 00:00:00+01:00,9.15,9.45,9.15,9.44,8.72,457860
2019-01-21 00:00:00+01:00,9.43,9.78,9.43,9.74,9.0,41053
2019-01-22 00:00:00+01:00,9.85,9.93,9.59,9.74,9.0,89072
2019-01-23 00:00:00+01:00,9.82,9.83,9.6,9.78,9.04,93860
2019-01-24 00:00:00+01:00,9.8,9.86,9.66,9.7,8.97,142187
2019-01-25 00:00:00+01:00,9.63,9.81,9.63,9.71,8.97,97199
2019-01-28 00:00:00+01:00,9.79,9.79,9.61,9.73,8.99,834944
2019-01-29 00:00:00+01:00,9.73,9.82,9.66,9.8,9.06,58276
2019-01-30 00:00:00+01:00,9.85,9.94,9.73,9.87,9.12,62879
2019-01-31 00:00:00+01:00,9.79,10.04,9.75,9.9,9.15,203357
2019-02-01 00:00:00+01:00,9.97,10.16,9.94,10.16,9.39,316782
2019-02-04 00:00:00+01:00,10.0,10.16,9.78,9.92,9.17,100274
2019-02-05 00:00:00+01:00,9.8,10.16,9.8,10.16,9.39,41053
2019-02-06 00:00:00+01:00,9.94,10.14,9.94,10.06,9.3,46555
2019-02-07 00:00:00+01:00,10.1,10.1,9.8,9.88,9.13,48400
2019-02-08 00:00:00+01:00,9.87,9.87,9.64,9.66,8.93,26175
2019-02-11 00:00:00+01:00,9.64,9.84,9.64,9.81,9.07,34570
2019-02-12 00:00:00+01:00,9.85,10.06,9.71,9.9,9.15,49200
2019-02-13 00:00:00+01:00,9.8,9.88,9.56,9.58,8.85,42321
2019-02-14 00:00:00+01:00,9.63,10.1,9.47,9.8,9.06,49495
2019-02-15 00:00:00+01:00,10.0,10.0,9.72,9.8,9.06,36210
2019-02-18 00:00:00+01:00,9.99,9.99,9.61,9.74,9.0,13229
2019-02-19 00:00:00+01:00,9.64,9.85,9.6,9.77,9.03,48052
2019-02-20 00:00:00+01:00,9.65,10.1,9.65,9.8,9.06,92938
2019-02-21 00:00:00+01:00,9.98,9.98,9.7,9.78,9.04,15447
