Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,17.61,17.73,17.4,17.4,15.34,1510201
2018-11-06 00:00:00+01:00,17.16,17.4,17.06,17.32,15.63,1751179
2018-11-07 00:00:00+01:00,17.41,17.73,17.4,17.61,15.9,1524655
2018-11-08 00:00:00+01:00,17.57,17.6,17.32,17.52,15.82,1603924
2018-11-09 00:00:00+01:00,17.48,17.8,17.41,17.8,16.06,996773
2018-11-12 00:00:00+01:00,17.77,18.03,17.73,17.86,16.13,945643
2018-11-13 00:00:00+01:00,17.88,18.01,17.82,18.0,16.25,1699837
2018-11-14 00:00:00+01:00,17.9,17.9,17.67,17.75,16.02,1901769
2018-11-15 00:00:00+01:00,17.83,18.06,17.6,17.62,15.91,1364414
2018-11-16 00:00:00+01:00,17.67,17.76,17.5,17.68,15.96,1329965
2018-11-19 00:00:00+01:00,17.69,17.92,17.6,17.6,15.89,1886039
2018-11-20 00:00:00+01:00,17.56,17.72,17.54,17.66,15.94,1297181
2018-11-21 00:00:00+01:00,17.73,17.92,17.6,17.9,16.15,806398
2018-11-22 00:00:00+01:00,17.78,17.94,17.69,17.86,16.13,742605
2018-11-23 00:00:00+01:00,17.93,18.14,17.91,18.1,16.34,2906199
2018-11-26 00:00:00+01:00,18.11,18.38,18.11,18.26,16.49,1538750
2018-11-27 00:00:00+01:00,18.23,18.4,18.19,18.25,16.47,1191761
2018-11-28 00:00:00+01:00,18.3,18.3,17.98,18.07,16.31,885420
2018-11-29 00:00:00+01:00,18.2,18.24,17.97,18.09,16.33,806535
2018-11-30 00:00:00+01:00,18.14,18.22,18.0,18.17,16.4,1666059
2018-12-03 00:00:00+01:00,18.36,18.53,18.21,18.33,16.55,1487169
2018-12-04 00:00:00+01:00,18.4,18.47,18.3,18.31,16.52,764404
2018-12-05 00:00:00+01:00,18.16,18.33,18.0,18.22,16.45,1100139
2018-12-06 00:00:00+01:00,18.08,18.18,17.66,17.66,15.94,2400081
2018-12-07 00:00:00+01:00,17.75,17.99,17.75,17.88,16.14,1519173
2018-12-10 00:00:00+01:00,17.8,17.83,17.41,17.41,15.72,2086235
2018-12-11 00:00:00+01:00,17.51,17.93,17.44,17.78,16.05,1722101
2018-12-12 00:00:00+01:00,17.79,18.09,17.71,18.09,16.33,1556654
2018-12-13 00:00:00+01:00,18.32,18.34,17.74,17.88,16.14,2010110
2018-12-14 00:00:00+01:00,17.79,18.04,17.64,18.04,16.28,2097403
2018-12-17 00:00:00+01:00,18.01,18.16,17.95,18.05,16.29,1598779
2018-12-18 00:00:00+01:00,18.02,18.02,17.62,17.83,16.1,1754110
2018-12-19 00:00:00+01:00,17.85,18.02,17.77,17.97,16.22,1760735
2018-12-20 00:00:00+01:00,17.85,17.94,17.48,17.76,16.03,1629553
2018-12-21 00:00:00+01:00,17.75,17.75,17.5,17.57,15.86,2540114
2018-12-24 00:00:00+01:00,17.5,17.73,17.49,17.67,15.95,335017
2018-12-27 00:00:00+01:00,17.81,17.83,17.17,17.27,15.59,1573442
2018-12-28 00:00:00+01:00,17.34,17.65,17.33,17.6,15.89,1026184
2018-12-31 00:00:00+01:00,17.65,17.81,17.62,17.69,15.97,965172
2019-01-02 00:00:00+01:00,17.53,17.78,17.35,17.71,15.99,1210386
2019-01-03 00:00:00+01:00,17.57,17.95,17.52,17.8,16.07,1117692
2019-01-04 00:00:00+01:00,17.92,18.1,17.83,18.01,16.26,1313015
2019-01-07 00:00:00+01:00,18.01,18.15,17.75,18.15,16.38,994252
2019-01-08 00:00:00+01:00,18.1,18.36,18.05,18.33,16.54,1517151
2019-01-09 00:00:00+01:00,18.4,18.54,18.34,18.41,16.61,2192975
2019-01-10 00:00:00+01:00,18.4,18.63,18.28,18.63,16.82,1601801
2019-01-11 00:00:00+01:00,18.88,19.17,18.51,18.56,16.75,3471466
2019-01-14 00:00:00+01:00,18.5,18.77,18.44,18.77,16.95,2171638
2019-01-15 00:00:00+01:00,18.9,19.0,18.62,18.69,16.88,1060301
2019-01-16 00:00:00+01:00,18.7,18.86,18.59,18.86,17.03,1969382
2019-01-17 00:00:00+01:00,18.78,19.08,18.68,19.08,17.23,1334591
2019-01-18 00:00:00+01:00,19.1,19.4,19.09,19.36,17.48,1511201
2019-01-21 00:00:00+01:00,19.28,19.45,19.2,19.36,17.48,1314373
2019-01-22 00:00:00+01:00,19.31,19.55,19.31,19.38,17.49,5607592
2019-01-23 00:00:00+01:00,19.3,19.71,19.3,19.58,17.68,1275308
2019-01-24 00:00:00+01:00,19.58,19.7,19.35,19.65,17.74,1935302
2019-01-25 00:00:00+01:00,19.69,19.77,19.51,19.68,17.77,2584460
2019-01-28 00:00:00+01:00,19.58,19.72,19.48,19.67,17.76,2095898
2019-01-29 00:00:00+01:00,19.7,19.73,19.22,19.35,17.47,1644161
2019-01-30 00:00:00+01:00,19.31,19.36,19.15,19.3,17.42,2701484
2019-01-31 00:00:00+01:00,19.41,19.57,19.35,19.57,17.67,2324369
2019-02-01 00:00:00+01:00,19.67,19.78,19.48,19.64,17.72,1035423
2019-02-04 00:00:00+01:00,19.6,19.67,19.45,19.61,17.7,1193475
2019-02-05 00:00:00+01:00,19.65,19.76,19.41,19.76,17.84,2141679
2019-02-06 00:00:00+01:00,19.74,19.75,19.47,19.51,17.62,1294615
2019-02-07 00:00:00+01:00,19.49,19.66,19.47,19.49,17.59,1616051
2019-02-08 00:00:00+01:00,19.43,19.58,19.32,19.42,17.54,1719373
2019-02-11 00:00:00+01:00,19.5,19.67,19.45,19.64,17.73,1367612
2019-02-12 00:00:00+01:00,19.7,19.75,19.59,19.59,17.68,1028915
2019-02-13 00:00:00+01:00,19.68,19.68,19.49,19.63,17.72,855371
2019-02-14 00:00:00+01:00,19.75,19.84,19.66,19.69,17.77,1070132
2019-02-15 00:00:00+01:00,19.72,19.86,19.56,19.82,17.89,1215242
2019-02-18 00:00:00+01:00,19.8,19.97,19.75,19.91,17.97,886655
2019-02-19 00:00:00+01:00,19.91,19.91,19.72,19.86,17.93,1450174
2019-02-20 00:00:00+01:00,19.89,20.15,19.87,20.1,18.14,1211803
2019-02-21 00:00:00+01:00,20.11,20.28,19.9,19.9,17.96,3371586
2019-02-22 00:00:00+01:00,19.86,20.08,19.78,20.03,18.08,2805475
2019-02-25 00:00:00+01:00,20.03,20.1,19.74,19.77,17.85,2044143
2019-02-26 00:00:00+01:00,19.72,19.94,19.6,19.9,17.96,1679987
2019-02-27 00:00:00+01:00,19.88,19.92,19.66,19.7,17.78,1621554
2019-02-28 00:00:00+01:00,19.5,20.26,19.5,20.26,18.29,2578820
2019-03-01 00:00:00+01:00,20.35,21.17,20.23,20.77,18.75,3144052
2019-03-04 00:00:00+01:00,20.76,20.96,20.71,20.87,18.84,2164154
2019-03-05 00:00:00+01:00,20.89,20.91,20.58,20.86,18.83,1359642
2019-03-06 00:00:00+01:00,20.76,20.99,20.76,20.91,18.88,1545077
2019-03-07 00:00:00+01:00,20.94,21.09,20.82,21.05,19.0,1544477
2019-03-08 00:00:00+01:00,20.92,20.94,20.44,20.54,18.54,1759617
2019-03-11 00:00:00+01:00,20.55,20.72,20.43,20.68,18.67,1012048
2019-03-12 00:00:00+01:00,20.68,20.72,20.5,20.66,18.65,1104254
2019-03-13 00:00:00+01:00,20.62,20.71,20.5,20.63,18.62,1476185
2019-03-14 00:00:00+01:00,20.55,20.7,20.43,20.62,18.61,1221784
2019-03-15 00:00:00+01:00,20.62,20.91,20.62,20.88,18.85,5125681
2019-03-18 00:00:00+01:00,20.84,21.0,20.82,21.0,18.96,859231
2019-03-19 00:00:00+01:00,20.98,20.98,20.68,20.88,18.85,1776187
2019-03-20 00:00:00+01:00,20.88,20.97,20.73,20.75,18.73,1734516
2019-03-21 00:00:00+01:00,20.74,20.85,20.57,20.61,18.6,1155227
2019-03-22 00:00:00+01:00,20.61,20.66,20.46,20.56,18.56,2002606
2019-03-25 00:00:00+01:00,20.45,20.59,20.4,20.45,18.46,1443374
2019-03-26 00:00:00+01:00,20.6,20.86,20.49,20.84,18.81,1677379
2019-03-27 00:00:00+01:00,20.84,20.87,20.56,20.81,18.79,1557301
2019-03-28 00:00:00+01:00,20.81,20.88,20.7,20.8,18.78,1320329
2019-03-29 00:00:00+01:00,20.8,21.03,20.78,20.88,18.85,1373330
2019-04-01 00:00:00+02:00,20.99,21.09,20.89,20.99,18.95,1529161
2019-04-02 00:00:00+02:00,21.05,21.15,20.94,21.12,19.07,1741153
2019-04-03 00:00:00+02:00,21.17,21.41,21.15,21.34,19.26,1636377
2019-04-04 00:00:00+02:00,21.35,21.42,21.18,21.25,19.18,1176693
2019-04-05 00:00:00+02:00,21.15,21.61,21.03,21.25,19.18,3297110
2019-04-08 00:00:00+02:00,21.24,21.27,20.91,21.0,18.96,2788797
2019-04-09 00:00:00+02:00,20.92,21.04,20.8,20.8,18.78,1612139
2019-04-10 00:00:00+02:00,20.77,20.85,20.6,20.65,18.64,1677291
2019-04-11 00:00:00+02:00,20.61,20.66,20.24,20.5,18.51,1817522
2019-04-12 00:00:00+02:00,20.5,20.77,20.47,20.69,18.68,2557650
2019-04-15 00:00:00+02:00,20.79,20.89,20.67,20.72,18.7,1922061
2019-04-16 00:00:00+02:00,20.65,20.77,20.59,20.66,18.65,2015650
2019-04-17 00:00:00+02:00,20.71,20.82,20.46,20.8,18.78,2108806
2019-04-18 00:00:00+02:00,20.82,21.05,20.82,20.99,18.95,1758245
2019-04-23 00:00:00+02:00,21.0,21.14,20.91,21.12,19.07,1595186
2019-04-24 00:00:00+02:00,21.2,21.46,21.19,21.45,19.36,1883775
2019-04-25 00:00:00+02:00,21.38,21.7,21.24,21.7,19.59,2112681
2019-04-26 00:00:00+02:00,21.72,21.87,21.59,21.84,19.72,1611114
2019-04-29 00:00:00+02:00,21.71,21.87,21.65,21.87,19.74,1122574
2019-04-30 00:00:00+02:00,21.88,22.05,21.78,21.96,19.82,2235337
2019-05-02 00:00:00+02:00,21.9,21.91,21.72,21.79,19.67,2363105
2019-05-03 00:00:00+02:00,21.9,21.91,21.67,21.78,19.66,2487709
2019-05-06 00:00:00+02:00,21.51,21.68,21.31,21.58,19.48,2797811
2019-05-07 00:00:00+02:00,21.48,21.79,21.45,21.55,19.45,1844369
2019-05-08 00:00:00+02:00,20.47,21.0,19.65,20.79,18.77,4103926
2019-05-09 00:00:00+02:00,20.75,20.91,20.56,20.61,18.6,2355771
2019-05-10 00:00:00+02:00,20.62,20.87,20.53,20.53,18.53,3846911
2019-05-13 00:00:00+02:00,20.62,20.64,20.28,20.34,18.36,1646448
2019-05-14 00:00:00+02:00,20.09,20.33,20.03,20.3,18.61,2516557
2019-05-15 00:00:00+02:00,20.42,20.5,20.24,20.41,18.71,3413362
2019-05-16 00:00:00+02:00,20.37,21.09,20.37,21.09,19.33,2665635
2019-05-17 00:00:00+02:00,21.04,21.38,21.0,21.3,19.53,2660098
2019-05-20 00:00:00+02:00,21.22,21.44,21.0,21.18,19.42,4778086
2019-05-21 00:00:00+02:00,21.13,21.49,21.12,21.47,19.68,1285271
2019-05-22 00:00:00+02:00,21.42,21.66,21.42,21.46,19.67,1273161
2019-05-23 00:00:00+02:00,21.41,21.56,21.34,21.39,19.61,1696424
2019-05-24 00:00:00+02:00,21.42,21.72,21.38,21.61,19.81,2065931
2019-05-27 00:00:00+02:00,21.73,21.87,21.65,21.77,19.96,732208
2019-05-28 00:00:00+02:00,21.74,21.76,21.52,21.76,19.95,3496545
2019-05-29 00:00:00+02:00,21.6,21.63,21.26,21.3,19.53,1940338
2019-05-30 00:00:00+02:00,21.25,21.48,21.16,21.37,19.59,1167212
2019-05-31 00:00:00+02:00,21.22,21.4,21.18,21.39,19.61,2137781
2019-06-03 00:00:00+02:00,21.23,21.27,20.92,21.16,19.4,2956733
2019-06-04 00:00:00+02:00,21.1,21.13,20.81,20.81,19.08,4280390
2019-06-05 00:00:00+02:00,20.84,21.17,20.84,20.98,19.23,1874268
2019-06-06 00:00:00+02:00,21.1,21.21,20.99,21.15,19.39,1582033
2019-06-07 00:00:00+02:00,21.27,21.7,21.23,21.67,19.87,1223489
2019-06-10 00:00:00+02:00,21.79,21.95,21.67,21.77,19.96,1715127
2019-06-11 00:00:00+02:00,21.89,21.99,21.72,21.9,20.08,4875542
2019-06-12 00:00:00+02:00,21.82,22.04,21.8,21.92,20.09,2166863
2019-06-13 00:00:00+02:00,21.93,22.13,21.91,22.05,20.21,1444594
2019-06-14 00:00:00+02:00,22.05,22.21,22.03,22.14,20.3,1610148
2019-06-17 00:00:00+02:00,22.13,22.26,22.1,22.1,20.26,1764559
2019-06-18 00:00:00+02:00,22.06,22.48,21.86,22.4,20.53,2182639
2019-06-19 00:00:00+02:00,22.43,22.49,22.34,22.4,20.53,1740368
2019-06-20 00:00:00+02:00,22.5,22.63,22.38,22.48,20.61,1418773
2019-06-21 00:00:00+02:00,22.49,22.62,22.25,22.25,20.4,5953546
2019-06-24 00:00:00+02:00,22.33,22.57,22.32,22.49,20.62,938079
2019-06-25 00:00:00+02:00,22.38,22.78,22.38,22.68,20.79,2148680
2019-06-26 00:00:00+02:00,22.79,22.83,22.39,22.41,20.54,1515915
2019-06-27 00:00:00+02:00,22.43,22.51,22.23,22.23,20.38,1434086
2019-06-28 00:00:00+02:00,22.17,22.61,22.06,22.51,20.64,1420289
2019-07-01 00:00:00+02:00,22.79,22.79,22.48,22.63,20.75,1348297
2019-07-02 00:00:00+02:00,22.75,22.81,22.55,22.75,20.86,1465006
2019-07-03 00:00:00+02:00,22.83,23.21,22.83,23.09,21.17,1540564
2019-07-04 00:00:00+02:00,23.12,23.16,22.91,23.0,21.08,803977
2019-07-05 00:00:00+02:00,22.93,23.03,22.6,22.65,20.76,988531
2019-07-08 00:00:00+02:00,22.63,22.84,22.58,22.8,20.9,2860264
2019-07-09 00:00:00+02:00,22.66,22.84,22.5,22.6,20.72,2406935
2019-07-10 00:00:00+02:00,22.68,22.94,22.4,22.75,20.86,2418865
2019-07-11 00:00:00+02:00,22.75,23.12,22.75,23.0,21.08,2965317
2019-07-12 00:00:00+02:00,23.02,23.14,22.87,23.08,21.16,1592424
2019-07-15 00:00:00+02:00,23.16,23.42,23.06,23.35,21.41,2467679
2019-07-16 00:00:00+02:00,23.31,23.68,23.25,23.67,21.7,2471452
2019-07-17 00:00:00+02:00,23.68,24.06,23.66,24.02,22.02,2350013
2019-07-18 00:00:00+02:00,23.85,23.99,23.67,23.94,21.95,1985863
2019-07-19 00:00:00+02:00,24.05,24.24,23.87,24.13,22.12,2128777
2019-07-22 00:00:00+02:00,24.09,24.5,24.04,24.4,22.37,1892573
2019-07-23 00:00:00+02:00,24.45,24.71,24.42,24.49,22.45,1690864
2019-07-24 00:00:00+02:00,24.29,24.47,24.17,24.38,22.35,1666489
2019-07-25 00:00:00+02:00,24.44,24.67,24.23,24.23,22.21,1340222
2019-07-26 00:00:00+02:00,24.16,24.4,24.08,24.26,22.24,1214489
2019-07-29 00:00:00+02:00,24.12,24.44,24.06,24.32,22.29,1474942
2019-07-30 00:00:00+02:00,24.26,24.29,23.76,23.89,21.9,1383625
2019-07-31 00:00:00+02:00,23.52,23.75,23.4,23.55,21.59,2311345
2019-08-01 00:00:00+02:00,23.43,23.81,23.43,23.79,21.81,2893288
2019-08-02 00:00:00+02:00,23.47,24.01,23.38,23.95,21.96,2486308
2019-08-05 00:00:00+02:00,23.68,23.84,23.59,23.75,21.77,1673202
2019-08-06 00:00:00+02:00,23.7,24.28,23.7,23.98,21.98,1029159
2019-08-07 00:00:00+02:00,24.01,24.77,24.01,24.59,22.54,3043738
2019-08-08 00:00:00+02:00,24.71,24.86,24.49,24.86,22.79,1542255
2019-08-09 00:00:00+02:00,24.84,24.9,24.7,24.8,22.73,1476144
2019-08-12 00:00:00+02:00,24.8,25.14,24.62,24.95,22.87,906514
2019-08-13 00:00:00+02:00,24.83,25.52,24.83,25.2,23.1,1614755
2019-08-14 00:00:00+02:00,25.24,25.49,25.03,25.07,22.98,2673251
2019-08-15 00:00:00+02:00,25.19,25.35,24.88,25.09,23.0,4312536
2019-08-16 00:00:00+02:00,25.11,25.35,25.06,25.33,23.22,995644
2019-08-19 00:00:00+02:00,25.45,25.48,25.2,25.42,23.3,2152855
2019-08-20 00:00:00+02:00,25.4,25.71,25.27,25.32,23.21,1652946
2019-08-21 00:00:00+02:00,25.44,25.66,25.29,25.61,23.48,1330428
2019-08-22 00:00:00+02:00,25.55,25.68,25.4,25.48,23.36,951663
2019-08-23 00:00:00+02:00,25.55,25.83,25.48,25.48,23.36,1035662
2019-08-26 00:00:00+02:00,25.38,25.57,25.36,25.56,23.43,829894
2019-08-27 00:00:00+02:00,25.54,25.86,25.45,25.86,23.71,1428332
2019-08-28 00:00:00+02:00,25.68,26.0,25.68,25.91,23.75,985317
2019-08-29 00:00:00+02:00,25.97,26.1,25.81,26.08,23.91,1440597
2019-08-30 00:00:00+02:00,26.05,26.08,25.78,25.87,23.72,10142984
2019-09-02 00:00:00+02:00,25.88,26.25,25.87,26.25,24.06,936729
2019-09-03 00:00:00+02:00,26.1,26.44,26.02,26.29,24.1,3341731
2019-09-04 00:00:00+02:00,26.2,26.3,25.98,26.2,24.02,1970156
2019-09-05 00:00:00+02:00,26.38,26.5,26.07,26.1,23.93,2126729
2019-09-06 00:00:00+02:00,26.25,26.54,26.15,26.43,24.23,2249505
2019-09-09 00:00:00+02:00,26.41,26.45,25.98,26.04,23.87,2492615
2019-09-10 00:00:00+02:00,25.94,26.0,25.07,25.33,23.22,3110430
2019-09-11 00:00:00+02:00,25.45,25.52,25.17,25.31,23.2,4648509
2019-09-12 00:00:00+02:00,25.47,26.04,25.45,25.88,23.72,1624025
2019-09-13 00:00:00+02:00,25.8,25.8,25.57,25.75,23.61,835659
2019-09-16 00:00:00+02:00,25.53,25.78,25.4,25.51,23.39,2686554
2019-09-17 00:00:00+02:00,25.58,25.85,25.41,25.78,23.63,2038703
2019-09-18 00:00:00+02:00,25.68,26.11,25.63,25.95,23.79,1817176
2019-09-19 00:00:00+02:00,25.82,26.49,25.82,26.25,24.06,2034433
2019-09-20 00:00:00+02:00,26.17,26.59,26.17,26.48,24.27,3870553
2019-09-23 00:00:00+02:00,26.47,26.52,26.28,26.3,24.11,1002729
2019-09-24 00:00:00+02:00,26.46,26.59,26.11,26.49,24.28,1998124
2019-09-25 00:00:00+02:00,26.49,26.54,26.11,26.15,23.97,1288183
2019-09-26 00:00:00+02:00,26.11,26.78,26.11,26.65,24.43,1153086
2019-09-27 00:00:00+02:00,26.75,26.83,26.18,26.34,24.15,1312513
2019-09-30 00:00:00+02:00,26.29,26.65,26.27,26.51,24.3,1154795
2019-10-01 00:00:00+02:00,26.56,26.66,26.17,26.23,24.05,2005431
2019-10-02 00:00:00+02:00,26.11,26.2,25.25,25.25,23.15,2134073
2019-10-03 00:00:00+02:00,25.36,25.89,25.34,25.5,23.38,1307255
2019-10-04 00:00:00+02:00,25.58,25.84,25.48,25.84,23.69,1367866
2019-10-07 00:00:00+02:00,25.87,26.0,25.63,25.9,23.74,1046039
2019-10-08 00:00:00+02:00,25.87,26.03,25.5,25.61,23.48,972248
2019-10-09 00:00:00+02:00,25.68,26.02,25.67,25.75,23.61,1108048
2019-10-10 00:00:00+02:00,25.86,25.92,25.55,25.81,23.66,681607
2019-10-11 00:00:00+02:00,25.85,25.85,25.45,25.7,23.56,3390317
2019-10-14 00:00:00+02:00,25.59,26.19,25.58,25.95,23.79,2884890
