Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,25.72,25.92,25.48,25.68,24.6,696358
2018-11-06 00:00:00+01:00,25.63,25.68,25.18,25.3,24.23,625624
2018-11-07 00:00:00+01:00,25.24,25.63,25.24,25.6,24.52,769453
2018-11-08 00:00:00+01:00,25.71,26.08,25.65,25.96,24.86,673860
2018-11-09 00:00:00+01:00,25.93,26.21,25.73,26.1,25.0,696906
2018-11-12 00:00:00+01:00,26.02,26.34,25.87,26.01,24.91,1200634
2018-11-13 00:00:00+01:00,26.01,26.31,25.94,26.2,25.09,1187046
2018-11-14 00:00:00+01:00,25.94,26.32,25.87,26.11,25.01,631425
2018-11-15 00:00:00+01:00,26.08,26.36,25.78,25.9,24.81,578552
2018-11-16 00:00:00+01:00,25.88,26.01,25.71,26.0,24.9,598577
2018-11-19 00:00:00+01:00,26.14,26.28,25.92,26.09,24.99,1596764
2018-11-20 00:00:00+01:00,25.89,25.99,25.35,25.51,24.43,915925
2018-11-21 00:00:00+01:00,25.44,25.73,25.44,25.55,24.47,620589
2018-11-22 00:00:00+01:00,25.74,26.16,25.56,25.63,24.55,777367
2018-11-23 00:00:00+01:00,25.6,25.82,25.38,25.82,24.73,470263
2018-11-26 00:00:00+01:00,25.85,26.11,25.59,25.65,24.57,2392773
2018-11-27 00:00:00+01:00,25.64,25.78,25.14,25.45,24.38,548924
2018-11-28 00:00:00+01:00,25.62,26.0,25.55,25.94,24.84,538108
2018-11-29 00:00:00+01:00,26.13,26.31,26.0,26.2,25.09,662469
2018-11-30 00:00:00+01:00,26.17,26.2,24.73,24.76,23.9,1218380
2018-12-03 00:00:00+01:00,25.3,25.39,24.95,25.32,24.44,577858
2018-12-04 00:00:00+01:00,25.34,25.34,24.84,24.9,24.03,2301474
2018-12-05 00:00:00+01:00,24.58,25.04,24.43,24.89,24.02,397044
2018-12-06 00:00:00+01:00,24.54,24.83,24.16,24.23,23.39,672065
