Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,25.2,25.41,25.1,25.28,23.06,31288631
2018-11-06 00:00:00+01:00,25.19,25.22,24.76,25.01,22.81,21690090
2018-11-07 00:00:00+01:00,25.13,26.37,25.13,26.31,23.99,17114635
2018-11-08 00:00:00+01:00,26.3,26.37,25.96,26.27,23.96,2529851
2018-11-09 00:00:00+01:00,26.27,26.45,26.0,26.42,24.1,2458918
2018-11-12 00:00:00+01:00,26.47,26.51,26.08,26.2,23.89,3224272
2018-11-13 00:00:00+01:00,26.28,26.34,25.92,26.11,23.81,3942793
2018-11-14 00:00:00+01:00,26.04,26.07,25.65,25.71,23.45,5203508
2018-11-15 00:00:00+01:00,25.81,25.98,25.4,25.71,23.45,2605858
2018-11-16 00:00:00+01:00,25.86,25.89,25.49,25.65,23.39,3628863
2018-11-19 00:00:00+01:00,25.67,25.74,25.14,25.19,22.97,3415556
2018-11-20 00:00:00+01:00,25.01,25.06,24.7,24.93,22.74,7924942
2018-11-21 00:00:00+01:00,24.96,25.58,24.86,25.55,23.3,10533110
2018-11-22 00:00:00+01:00,25.47,25.95,25.47,25.9,23.62,2697628
2018-11-23 00:00:00+01:00,25.82,26.26,25.73,26.2,23.89,2864508
2018-11-26 00:00:00+01:00,26.41,26.77,26.33,26.55,24.21,2728152
2018-11-27 00:00:00+01:00,26.68,27.29,26.61,26.93,24.56,6334332
2018-11-28 00:00:00+01:00,27.12,27.65,27.07,27.39,24.98,8493449
2018-11-29 00:00:00+01:00,27.62,27.71,27.14,27.31,24.91,3960104
2018-11-30 00:00:00+01:00,27.33,27.33,26.99,27.09,24.71,3208414
2018-12-03 00:00:00+01:00,27.59,27.79,27.32,27.72,25.28,4089652
2018-12-04 00:00:00+01:00,27.55,27.67,27.13,27.27,24.87,2630253
2018-12-05 00:00:00+01:00,27.05,27.4,26.82,27.21,24.82,2332443
2018-12-06 00:00:00+01:00,26.92,27.04,26.62,26.8,24.44,3206467
2018-12-07 00:00:00+01:00,26.89,27.32,26.8,26.8,24.44,4639033
2018-12-10 00:00:00+01:00,26.79,26.9,26.46,26.61,24.27,2632963
2018-12-11 00:00:00+01:00,26.61,26.86,26.33,26.33,24.01,4303991
2018-12-12 00:00:00+01:00,25.28,25.48,24.38,25.05,22.85,8715488
2018-12-13 00:00:00+01:00,25.11,25.24,24.86,24.99,22.79,3830722
2018-12-14 00:00:00+01:00,24.8,24.99,24.52,24.55,22.39,4844215
