Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,11.03,11.1,10.91,10.91,8.87,1073823
2018-11-06 00:00:00+01:00,10.91,11.03,10.9,11.0,8.94,702384
2018-11-07 00:00:00+01:00,11.0,11.19,11.0,11.12,9.04,665119
2018-11-08 00:00:00+01:00,11.13,11.31,11.06,11.27,9.16,1194863
2018-11-09 00:00:00+01:00,11.27,11.41,11.23,11.41,9.28,832859
2018-11-12 00:00:00+01:00,11.42,11.43,11.23,11.37,9.24,568108
2018-11-13 00:00:00+01:00,11.42,11.43,11.31,11.4,9.26,441968
2018-11-14 00:00:00+01:00,11.4,11.41,11.26,11.3,9.18,749272
2018-11-15 00:00:00+01:00,11.31,11.44,11.31,11.38,9.24,1220458
2018-11-16 00:00:00+01:00,11.36,11.37,11.12,11.27,9.16,1580683
2018-11-19 00:00:00+01:00,11.27,11.48,11.16,11.18,9.09,2403511
2018-11-20 00:00:00+01:00,11.15,11.2,10.73,10.74,8.73,1831545
2018-11-21 00:00:00+01:00,10.76,10.85,10.63,10.77,8.75,1502084
2018-11-22 00:00:00+01:00,10.77,10.94,10.68,10.88,8.84,1104066
2018-11-23 00:00:00+01:00,10.89,11.1,10.89,11.02,8.96,891819
2018-11-26 00:00:00+01:00,11.1,11.19,11.04,11.12,9.04,987463
2018-11-27 00:00:00+01:00,11.15,11.23,11.12,11.18,9.09,1047480
2018-11-28 00:00:00+01:00,11.23,11.32,11.22,11.3,9.18,1625268
2018-11-29 00:00:00+01:00,11.35,11.39,11.24,11.27,9.15,1420664
2018-11-30 00:00:00+01:00,11.34,11.34,11.14,11.15,9.07,1163864
2018-12-03 00:00:00+01:00,11.3,11.44,11.1,11.1,9.02,1156980
2018-12-04 00:00:00+01:00,11.15,11.21,10.99,11.07,9.0,1356329
2018-12-05 00:00:00+01:00,10.98,11.15,10.97,11.04,8.97,776781
2018-12-06 00:00:00+01:00,10.96,11.12,10.95,11.1,9.02,1556629
2018-12-07 00:00:00+01:00,11.12,11.31,11.09,11.22,9.12,948647
2018-12-10 00:00:00+01:00,11.2,11.26,11.04,11.04,8.97,1154927
2018-12-11 00:00:00+01:00,11.08,11.16,10.9,11.1,9.02,1329007
2018-12-12 00:00:00+01:00,11.16,11.38,11.16,11.27,9.15,1034697
2018-12-13 00:00:00+01:00,11.32,11.32,11.05,11.06,8.98,927609
2018-12-14 00:00:00+01:00,11.04,11.14,10.85,11.1,9.02,851961
2018-12-17 00:00:00+01:00,11.14,11.18,10.98,10.98,8.92,942345
2018-12-18 00:00:00+01:00,10.9,10.96,10.66,10.66,8.67,1766519
2018-12-19 00:00:00+01:00,10.68,10.81,10.59,10.74,8.73,3218790
2018-12-20 00:00:00+01:00,10.57,10.72,10.51,10.69,8.69,2847055
2018-12-21 00:00:00+01:00,10.6,10.77,10.55,10.77,8.76,3124790
2018-12-24 00:00:00+01:00,10.8,11.2,10.73,11.2,9.1,478037
2018-12-27 00:00:00+01:00,11.11,11.18,10.55,10.6,8.62,2430446
2018-12-28 00:00:00+01:00,10.63,10.74,10.5,10.61,8.63,1169549
2018-12-31 00:00:00+01:00,10.78,10.85,10.68,10.78,8.76,525111
2019-01-02 00:00:00+01:00,10.76,10.8,10.52,10.77,8.75,884292
2019-01-03 00:00:00+01:00,10.7,10.74,10.57,10.68,8.68,1467146
2019-01-04 00:00:00+01:00,10.8,10.9,10.67,10.8,8.77,1061484
2019-01-07 00:00:00+01:00,10.79,10.85,10.76,10.81,8.79,714000
2019-01-08 00:00:00+01:00,10.81,11.11,10.8,11.06,8.99,970865
2019-01-09 00:00:00+01:00,11.06,11.1,10.86,10.9,8.86,1357772
