Date,Open,High,Low,Close,Adj_Close,Volume
2018-11-05 00:00:00+01:00,18.2,18.36,18.2,18.27,13.92,1297063
2018-11-06 00:00:00+01:00,18.32,18.76,18.22,18.76,14.29,2277433
2018-11-07 00:00:00+01:00,18.85,19.08,18.77,18.95,14.44,1395515
2018-11-08 00:00:00+01:00,18.95,19.07,18.86,19.01,14.48,1072698
2018-11-09 00:00:00+01:00,19.01,19.33,18.91,19.28,14.68,1203813
2018-11-12 00:00:00+01:00,19.24,19.24,19.03,19.16,14.59,1065758
2018-11-13 00:00:00+01:00,19.16,19.32,19.07,19.32,14.71,2205062
2018-11-14 00:00:00+01:00,19.32,19.6,19.23,19.45,14.82,1255219
2018-11-15 00:00:00+01:00,19.51,19.62,19.33,19.37,14.75,1187411
2018-11-16 00:00:00+01:00,19.37,19.45,19.15,19.26,14.67,1558361
2018-11-19 00:00:00+01:00,19.24,19.41,19.0,19.0,14.47,1465916
2018-11-20 00:00:00+01:00,18.97,19.12,18.9,19.03,14.49,4021324
2018-11-21 00:00:00+01:00,19.08,19.31,18.95,18.96,14.44,1160161
2018-11-22 00:00:00+01:00,18.95,19.01,18.81,18.86,14.36,770596
2018-11-23 00:00:00+01:00,18.95,19.03,18.85,18.98,14.45,658946
2018-11-26 00:00:00+01:00,19.07,19.12,18.85,18.91,14.4,1494626
2018-11-27 00:00:00+01:00,18.98,19.27,18.93,19.0,14.47,1552858
2018-11-28 00:00:00+01:00,19.09,19.14,18.93,19.1,14.55,1035172
2018-11-29 00:00:00+01:00,19.1,19.15,18.9,18.95,14.44,762006
2018-11-30 00:00:00+01:00,18.97,19.15,18.89,19.01,14.48,3327069
2018-12-03 00:00:00+01:00,19.22,19.22,18.86,19.02,14.49,1327521
2018-12-04 00:00:00+01:00,19.1,19.53,19.1,19.53,14.88,1945031
2018-12-05 00:00:00+01:00,19.45,19.62,19.39,19.52,14.87,722773
2018-12-06 00:00:00+01:00,19.45,19.6,19.31,19.33,14.72,1215969
2018-12-07 00:00:00+01:00,19.32,19.67,19.26,19.52,14.87,1319578
2018-12-10 00:00:00+01:00,19.42,19.58,19.36,19.39,14.77,975314
2018-12-11 00:00:00+01:00,19.49,19.64,19.29,19.52,14.87,2156429
2018-12-12 00:00:00+01:00,19.6,20.15,19.6,19.99,15.22,2026738
2018-12-13 00:00:00+01:00,20.15,20.25,19.91,20.2,15.38,1391771
2018-12-14 00:00:00+01:00,20.14,20.32,20.05,20.3,15.46,2589956
2018-12-17 00:00:00+01:00,20.23,20.48,20.23,20.26,15.43,2071766
2018-12-18 00:00:00+01:00,20.3,20.33,19.96,19.96,15.2,2331966
